group,function,value,sample_time_nanos,iteration_count
encode 1Mb string,serde_json,,2034148,2
encode 1Mb string,serde_json,,3676620,4
encode 1Mb string,serde_json,,5692565,6
encode 1Mb string,serde_json,,7679876,8
encode 1Mb string,serde_json,,9051126,10
encode 1Mb string,serde_json,,11463685,12
encode 1Mb string,serde_json,,12967060,14
encode 1Mb string,serde_json,,14916281,16
encode 1Mb string,serde_json,,17031829,18
encode 1Mb string,serde_json,,19506664,20
encode 1Mb string,serde_json,,21038150,22
encode 1Mb string,serde_json,,22263661,24
encode 1Mb string,serde_json,,24305843,26
encode 1Mb string,serde_json,,26508934,28
encode 1Mb string,serde_json,,27607489,30
encode 1Mb string,serde_json,,30011962,32
encode 1Mb string,serde_json,,31839929,34
encode 1Mb string,serde_json,,33578409,36
encode 1Mb string,serde_json,,35522480,38
encode 1Mb string,serde_json,,37431988,40
encode 1Mb string,serde_json,,39147465,42
encode 1Mb string,serde_json,,41138583,44
encode 1Mb string,serde_json,,43124542,46
encode 1Mb string,serde_json,,44808071,48
encode 1Mb string,serde_json,,46615258,50
encode 1Mb string,serde_json,,48265265,52
encode 1Mb string,serde_json,,50277282,54
encode 1Mb string,serde_json,,52410714,56
encode 1Mb string,serde_json,,54091297,58
encode 1Mb string,serde_json,,56111138,60
encode 1Mb string,serde_json,,58596993,62
encode 1Mb string,serde_json,,60092724,64
encode 1Mb string,serde_json,,61692106,66
encode 1Mb string,serde_json,,64534231,68
encode 1Mb string,serde_json,,64996928,70
encode 1Mb string,serde_json,,66280215,72
encode 1Mb string,serde_json,,67844663,74
encode 1Mb string,serde_json,,70745868,76
encode 1Mb string,serde_json,,71040323,78
encode 1Mb string,serde_json,,73797439,80
encode 1Mb string,serde_json,,75085717,82
encode 1Mb string,serde_json,,76854332,84
encode 1Mb string,serde_json,,78848005,86
encode 1Mb string,serde_json,,81205562,88
encode 1Mb string,serde_json,,83045110,90
encode 1Mb string,serde_json,,84726455,92
encode 1Mb string,serde_json,,87746258,94
encode 1Mb string,serde_json,,89854624,96
encode 1Mb string,serde_json,,91690355,98
encode 1Mb string,serde_json,,93824056,100
encode 1Mb string,serde_json,,95476547,102
encode 1Mb string,serde_json,,96953193,104
encode 1Mb string,serde_json,,98970280,106
encode 1Mb string,serde_json,,100982707,108
encode 1Mb string,serde_json,,103248385,110
encode 1Mb string,serde_json,,105518259,112
encode 1Mb string,serde_json,,106218787,114
encode 1Mb string,serde_json,,109901788,116
encode 1Mb string,serde_json,,110131214,118
encode 1Mb string,serde_json,,112405828,120
encode 1Mb string,serde_json,,114034594,122
encode 1Mb string,serde_json,,115870736,124
encode 1Mb string,serde_json,,117814226,126
encode 1Mb string,serde_json,,119626582,128
encode 1Mb string,serde_json,,122453601,130
encode 1Mb string,serde_json,,125065358,132
encode 1Mb string,serde_json,,124568748,134
encode 1Mb string,serde_json,,127825471,136
encode 1Mb string,serde_json,,128759211,138
encode 1Mb string,serde_json,,130977259,140
encode 1Mb string,serde_json,,132741006,142
encode 1Mb string,serde_json,,135288465,144
encode 1Mb string,serde_json,,137788566,146
encode 1Mb string,serde_json,,140897344,148
encode 1Mb string,serde_json,,140119674,150
encode 1Mb string,serde_json,,143773422,152
encode 1Mb string,serde_json,,144254253,154
encode 1Mb string,serde_json,,146481179,156
encode 1Mb string,serde_json,,148993653,158
encode 1Mb string,serde_json,,150782366,160
encode 1Mb string,serde_json,,153839740,162
encode 1Mb string,serde_json,,153882600,164
encode 1Mb string,serde_json,,156282605,166
encode 1Mb string,serde_json,,157621975,168
encode 1Mb string,serde_json,,159955599,170
encode 1Mb string,serde_json,,162892589,172
encode 1Mb string,serde_json,,164572893,174
encode 1Mb string,serde_json,,165452401,176
encode 1Mb string,serde_json,,167044260,178
encode 1Mb string,serde_json,,168904055,180
encode 1Mb string,serde_json,,170842326,182
encode 1Mb string,serde_json,,174739285,184
encode 1Mb string,serde_json,,176149026,186
encode 1Mb string,serde_json,,176493163,188
encode 1Mb string,serde_json,,178595808,190
encode 1Mb string,serde_json,,180060001,192
encode 1Mb string,serde_json,,182867992,194
encode 1Mb string,serde_json,,186019852,196
encode 1Mb string,serde_json,,186220203,198
encode 1Mb string,serde_json,,189222984,200
