group,function,value,sample_time_nanos,iteration_count
encode 1Mb string,serde_json,,1925721,2
encode 1Mb string,serde_json,,3100889,4
encode 1Mb string,serde_json,,4482027,6
encode 1Mb string,serde_json,,5845340,8
encode 1Mb string,serde_json,,7084160,10
encode 1Mb string,serde_json,,8515240,12
encode 1Mb string,serde_json,,9942213,14
encode 1Mb string,serde_json,,11565064,16
encode 1Mb string,serde_json,,12961390,18
encode 1Mb string,serde_json,,14172466,20
encode 1Mb string,serde_json,,15868616,22
encode 1Mb string,serde_json,,17625900,24
encode 1Mb string,serde_json,,20390958,26
encode 1Mb string,serde_json,,20610852,28
encode 1Mb string,serde_json,,21672157,30
encode 1Mb string,serde_json,,23388163,32
encode 1Mb string,serde_json,,25001537,34
encode 1Mb string,serde_json,,26171206,36
encode 1Mb string,serde_json,,27593310,38
encode 1Mb string,serde_json,,29134938,40
encode 1Mb string,serde_json,,30237710,42
encode 1Mb string,serde_json,,32197095,44
encode 1Mb string,serde_json,,33197506,46
encode 1Mb string,serde_json,,34716591,48
encode 1Mb string,serde_json,,36543787,50
encode 1Mb string,serde_json,,39323423,52
encode 1Mb string,serde_json,,39392313,54
encode 1Mb string,serde_json,,40653864,56
encode 1Mb string,serde_json,,42783939,58
encode 1Mb string,serde_json,,44314548,60
encode 1Mb string,serde_json,,46633006,62
encode 1Mb string,serde_json,,46191015,64
encode 1Mb string,serde_json,,47943079,66
encode 1Mb string,serde_json,,49171689,68
encode 1Mb string,serde_json,,50191867,70
encode 1Mb string,serde_json,,53347961,72
encode 1Mb string,serde_json,,53248875,74
encode 1Mb string,serde_json,,55463899,76
encode 1Mb string,serde_json,,56957968,78
encode 1Mb string,serde_json,,58273843,80
encode 1Mb string,serde_json,,59199803,82
encode 1Mb string,serde_json,,61501741,84
encode 1Mb string,serde_json,,62648877,86
encode 1Mb string,serde_json,,64181589,88
encode 1Mb string,serde_json,,66976783,90
encode 1Mb string,serde_json,,66808507,92
encode 1Mb string,serde_json,,67788971,94
encode 1Mb string,serde_json,,69462246,96
encode 1Mb string,serde_json,,70697248,98
encode 1Mb string,serde_json,,72646844,100
encode 1Mb string,serde_json,,73672392,102
encode 1Mb string,serde_json,,77762282,104
encode 1Mb string,serde_json,,76127668,106
encode 1Mb string,serde_json,,79568718,108
encode 1Mb string,serde_json,,79782310,110
encode 1Mb string,serde_json,,80802016,112
encode 1Mb string,serde_json,,81869753,114
encode 1Mb string,serde_json,,82914086,116
encode 1Mb string,serde_json,,86397976,118
encode 1Mb string,serde_json,,86224058,120
encode 1Mb string,serde_json,,87622277,122
encode 1Mb string,serde_json,,89568315,124
encode 1Mb string,serde_json,,90946397,126
encode 1Mb string,serde_json,,95600205,128
encode 1Mb string,serde_json,,94399660,130
encode 1Mb string,serde_json,,97200404,132
encode 1Mb string,serde_json,,97910379,134
encode 1Mb string,serde_json,,98738985,136
encode 1Mb string,serde_json,,100221432,138
encode 1Mb string,serde_json,,100945674,140
encode 1Mb string,serde_json,,102175937,142
encode 1Mb string,serde_json,,103623237,144
encode 1Mb string,serde_json,,105350896,146
encode 1Mb string,serde_json,,107389128,148
encode 1Mb string,serde_json,,108856837,150
encode 1Mb string,serde_json,,110596317,152
encode 1Mb string,serde_json,,110864842,154
encode 1Mb string,serde_json,,112160936,156
encode 1Mb string,serde_json,,114886290,158
encode 1Mb string,serde_json,,115473365,160
encode 1Mb string,serde_json,,119163151,162
encode 1Mb string,serde_json,,119379508,164
encode 1Mb string,serde_json,,121346435,166
encode 1Mb string,serde_json,,123101895,168
encode 1Mb string,serde_json,,124552122,170
encode 1Mb string,serde_json,,125378032,172
encode 1Mb string,serde_json,,127135487,174
encode 1Mb string,serde_json,,126610620,176
encode 1Mb string,serde_json,,128636559,178
encode 1Mb string,serde_json,,130178216,180
encode 1Mb string,serde_json,,133107173,182
encode 1Mb string,serde_json,,134904883,184
encode 1Mb string,serde_json,,133971467,186
encode 1Mb string,serde_json,,135368331,188
encode 1Mb string,serde_json,,139127548,190
encode 1Mb string,serde_json,,139741342,192
encode 1Mb string,serde_json,,141570922,194
encode 1Mb string,serde_json,,143835619,196
encode 1Mb string,serde_json,,143695295,198
encode 1Mb string,serde_json,,144754305,200
