group,function,value,sample_time_nanos,iteration_count
encode nested objects,json_in_type,,1618003,5918
encode nested objects,json_in_type,,2415808,11836
encode nested objects,json_in_type,,2956866,17754
encode nested objects,json_in_type,,3928057,23672
encode nested objects,json_in_type,,4920747,29590
encode nested objects,json_in_type,,5878183,35508
encode nested objects,json_in_type,,7545358,41426
encode nested objects,json_in_type,,7831427,47344
encode nested objects,json_in_type,,9525793,53262
encode nested objects,json_in_type,,9934328,59180
encode nested objects,json_in_type,,10842813,65098
encode nested objects,json_in_type,,11815559,71016
encode nested objects,json_in_type,,12900017,76934
encode nested objects,json_in_type,,13782255,82852
encode nested objects,json_in_type,,14814158,88770
encode nested objects,json_in_type,,16047536,94688
encode nested objects,json_in_type,,16668279,100606
encode nested objects,json_in_type,,17729683,106524
encode nested objects,json_in_type,,18719019,112442
encode nested objects,json_in_type,,19602785,118360
encode nested objects,json_in_type,,20709782,124278
encode nested objects,json_in_type,,21607512,130196
encode nested objects,json_in_type,,22632334,136114
encode nested objects,json_in_type,,23535273,142032
encode nested objects,json_in_type,,24447763,147950
encode nested objects,json_in_type,,25504724,153868
encode nested objects,json_in_type,,27190423,159786
encode nested objects,json_in_type,,27431485,165704
encode nested objects,json_in_type,,28414510,171622
encode nested objects,json_in_type,,29481244,177540
encode nested objects,json_in_type,,30424439,183458
encode nested objects,json_in_type,,32274478,189376
encode nested objects,json_in_type,,32495630,195294
encode nested objects,json_in_type,,34252017,201212
encode nested objects,json_in_type,,34773795,207130
encode nested objects,json_in_type,,35690573,213048
encode nested objects,json_in_type,,36314122,218966
encode nested objects,json_in_type,,37423764,224884
encode nested objects,json_in_type,,38285222,230802
encode nested objects,json_in_type,,40517776,236720
encode nested objects,json_in_type,,40287890,242638
encode nested objects,json_in_type,,41417569,248556
encode nested objects,json_in_type,,42199002,254474
encode nested objects,json_in_type,,43343192,260392
encode nested objects,json_in_type,,44147454,266310
encode nested objects,json_in_type,,46366268,272228
encode nested objects,json_in_type,,46369613,278146
encode nested objects,json_in_type,,48693603,284064
encode nested objects,json_in_type,,50289604,289982
encode nested objects,json_in_type,,49718802,295900
encode nested objects,json_in_type,,50724760,301818
encode nested objects,json_in_type,,50958338,307736
encode nested objects,json_in_type,,52693622,313654
encode nested objects,json_in_type,,52899221,319572
encode nested objects,json_in_type,,54162850,325490
encode nested objects,json_in_type,,55841887,331408
encode nested objects,json_in_type,,57048165,337326
encode nested objects,json_in_type,,57708235,343244
encode nested objects,json_in_type,,58942143,349162
encode nested objects,json_in_type,,59577276,355080
encode nested objects,json_in_type,,60280565,360998
encode nested objects,json_in_type,,61615681,366916
encode nested objects,json_in_type,,62457201,372834
encode nested objects,json_in_type,,62666677,378752
encode nested objects,json_in_type,,63651395,384670
encode nested objects,json_in_type,,65086228,390588
encode nested objects,json_in_type,,66081997,396506
encode nested objects,json_in_type,,66851672,402424
encode nested objects,json_in_type,,67771465,408342
encode nested objects,json_in_type,,68854920,414260
encode nested objects,json_in_type,,70482151,420178
encode nested objects,json_in_type,,70786353,426096
encode nested objects,json_in_type,,72626769,432014
encode nested objects,json_in_type,,73717265,437932
encode nested objects,json_in_type,,74237326,443850
encode nested objects,json_in_type,,74487038,449768
encode nested objects,json_in_type,,76376201,455686
encode nested objects,json_in_type,,77777044,461604
encode nested objects,json_in_type,,77990331,467522
encode nested objects,json_in_type,,79895405,473440
encode nested objects,json_in_type,,79430317,479358
encode nested objects,json_in_type,,81128030,485276
encode nested objects,json_in_type,,81400789,491194
encode nested objects,json_in_type,,82502868,497112
encode nested objects,json_in_type,,84175246,503030
encode nested objects,json_in_type,,84613637,508948
encode nested objects,json_in_type,,85147814,514866
encode nested objects,json_in_type,,86160948,520784
encode nested objects,json_in_type,,88799706,526702
encode nested objects,json_in_type,,88558574,532620
encode nested objects,json_in_type,,89433546,538538
encode nested objects,json_in_type,,91078149,544456
encode nested objects,json_in_type,,91358070,550374
encode nested objects,json_in_type,,92126453,556292
encode nested objects,json_in_type,,94120155,562210
encode nested objects,json_in_type,,94743207,568128
encode nested objects,json_in_type,,96159120,574046
encode nested objects,json_in_type,,96344842,579964
encode nested objects,json_in_type,,97323329,585882
encode nested objects,json_in_type,,98157344,591800
