group,function,value,sample_time_nanos,iteration_count
encode nested objects,json_in_type,,1847800,5372
encode nested objects,json_in_type,,2974755,10744
encode nested objects,json_in_type,,2924535,16116
encode nested objects,json_in_type,,3956688,21488
encode nested objects,json_in_type,,4903240,26860
encode nested objects,json_in_type,,5902740,32232
encode nested objects,json_in_type,,6923463,37604
encode nested objects,json_in_type,,8413398,42976
encode nested objects,json_in_type,,8866080,48348
encode nested objects,json_in_type,,10440600,53720
encode nested objects,json_in_type,,11769998,59092
encode nested objects,json_in_type,,12155257,64464
encode nested objects,json_in_type,,13453829,69836
encode nested objects,json_in_type,,14028759,75208
encode nested objects,json_in_type,,14715815,80580
encode nested objects,json_in_type,,15677102,85952
encode nested objects,json_in_type,,16679309,91324
encode nested objects,json_in_type,,17595585,96696
encode nested objects,json_in_type,,19276182,102068
encode nested objects,json_in_type,,19621886,107440
encode nested objects,json_in_type,,20536382,112812
encode nested objects,json_in_type,,21443905,118184
encode nested objects,json_in_type,,22458946,123556
encode nested objects,json_in_type,,23468824,128928
encode nested objects,json_in_type,,24436287,134300
encode nested objects,json_in_type,,25422561,139672
encode nested objects,json_in_type,,26750987,145044
encode nested objects,json_in_type,,27404857,150416
encode nested objects,json_in_type,,28483718,155788
encode nested objects,json_in_type,,29538487,161160
encode nested objects,json_in_type,,30474985,166532
encode nested objects,json_in_type,,31399608,171904
encode nested objects,json_in_type,,32246671,177276
encode nested objects,json_in_type,,33206331,182648
encode nested objects,json_in_type,,34589269,188020
encode nested objects,json_in_type,,36387455,193392
encode nested objects,json_in_type,,37448575,198764
encode nested objects,json_in_type,,37630441,204136
encode nested objects,json_in_type,,38752688,209508
encode nested objects,json_in_type,,39766231,214880
encode nested objects,json_in_type,,40166237,220252
encode nested objects,json_in_type,,41526917,225624
encode nested objects,json_in_type,,42283035,230996
encode nested objects,json_in_type,,43156992,236368
encode nested objects,json_in_type,,44175185,241740
encode nested objects,json_in_type,,46169161,247112
encode nested objects,json_in_type,,46510781,252484
encode nested objects,json_in_type,,47207457,257856
encode nested objects,json_in_type,,49078165,263228
encode nested objects,json_in_type,,49130076,268600
encode nested objects,json_in_type,,50520771,273972
encode nested objects,json_in_type,,51893986,279344
encode nested objects,json_in_type,,51828243,284716
encode nested objects,json_in_type,,53366860,290088
encode nested objects,json_in_type,,56639525,295460
encode nested objects,json_in_type,,55892970,300832
encode nested objects,json_in_type,,55938880,306204
encode nested objects,json_in_type,,57432571,311576
encode nested objects,json_in_type,,58278984,316948
encode nested objects,json_in_type,,59026534,322320
encode nested objects,json_in_type,,59878233,327692
encode nested objects,json_in_type,,60612935,333064
encode nested objects,json_in_type,,61568772,338436
encode nested objects,json_in_type,,63152044,343808
encode nested objects,json_in_type,,64057437,349180
encode nested objects,json_in_type,,64462561,354552
encode nested objects,json_in_type,,65441937,359924
encode nested objects,json_in_type,,66298920,365296
encode nested objects,json_in_type,,67771420,370668
encode nested objects,json_in_type,,68495290,376040
encode nested objects,json_in_type,,69655287,381412
encode nested objects,json_in_type,,70339953,386784
encode nested objects,json_in_type,,72354793,392156
encode nested objects,json_in_type,,72537110,397528
encode nested objects,json_in_type,,73411691,402900
encode nested objects,json_in_type,,74802490,408272
encode nested objects,json_in_type,,75146809,413644
encode nested objects,json_in_type,,78718942,419016
encode nested objects,json_in_type,,78688913,424388
encode nested objects,json_in_type,,79821756,429760
encode nested objects,json_in_type,,79825579,435132
encode nested objects,json_in_type,,80276930,440504
encode nested objects,json_in_type,,81083947,445876
encode nested objects,json_in_type,,83793212,451248
encode nested objects,json_in_type,,82970027,456620
encode nested objects,json_in_type,,84209140,461992
encode nested objects,json_in_type,,85765012,467364
encode nested objects,json_in_type,,88187933,472736
encode nested objects,json_in_type,,87222348,478108
encode nested objects,json_in_type,,87995566,483480
encode nested objects,json_in_type,,89648461,488852
encode nested objects,json_in_type,,89953459,494224
encode nested objects,json_in_type,,90713595,499596
encode nested objects,json_in_type,,92130643,504968
encode nested objects,json_in_type,,93627234,510340
encode nested objects,json_in_type,,93710008,515712
encode nested objects,json_in_type,,94759193,521084
encode nested objects,json_in_type,,95639560,526456
encode nested objects,json_in_type,,96962816,531828
encode nested objects,json_in_type,,98760534,537200
