group,function,value,sample_time_nanos,iteration_count
encode nested objects,serde_json,,1337889,347
encode nested objects,serde_json,,2335777,694
encode nested objects,serde_json,,2941878,1041
encode nested objects,serde_json,,3869671,1388
encode nested objects,serde_json,,4830490,1735
encode nested objects,serde_json,,5768415,2082
encode nested objects,serde_json,,6810352,2429
encode nested objects,serde_json,,8199643,2776
encode nested objects,serde_json,,8772458,3123
encode nested objects,serde_json,,10084943,3470
encode nested objects,serde_json,,10741587,3817
encode nested objects,serde_json,,11580378,4164
encode nested objects,serde_json,,14107660,4511
encode nested objects,serde_json,,13493877,4858
encode nested objects,serde_json,,14857732,5205
encode nested objects,serde_json,,16222595,5552
encode nested objects,serde_json,,16442283,5899
encode nested objects,serde_json,,17376706,6246
encode nested objects,serde_json,,18693857,6593
encode nested objects,serde_json,,19685766,6940
encode nested objects,serde_json,,20291429,7287
encode nested objects,serde_json,,21296311,7634
encode nested objects,serde_json,,22967309,7981
encode nested objects,serde_json,,23214933,8328
encode nested objects,serde_json,,25675653,8675
encode nested objects,serde_json,,25543995,9022
encode nested objects,serde_json,,26354971,9369
encode nested objects,serde_json,,28167743,9716
encode nested objects,serde_json,,28672308,10063
encode nested objects,serde_json,,30473709,10410
encode nested objects,serde_json,,30282647,10757
encode nested objects,serde_json,,31219689,11104
encode nested objects,serde_json,,32002640,11451
encode nested objects,serde_json,,32969735,11798
encode nested objects,serde_json,,33863126,12145
encode nested objects,serde_json,,34675310,12492
encode nested objects,serde_json,,36631457,12839
encode nested objects,serde_json,,37394114,13186
encode nested objects,serde_json,,38590293,13533
encode nested objects,serde_json,,38779138,13880
encode nested objects,serde_json,,40856196,14227
encode nested objects,serde_json,,40718531,14574
encode nested objects,serde_json,,43572472,14921
encode nested objects,serde_json,,43827169,15268
encode nested objects,serde_json,,43306076,15615
encode nested objects,serde_json,,44916533,15962
encode nested objects,serde_json,,45282603,16309
encode nested objects,serde_json,,47409049,16656
encode nested objects,serde_json,,48482380,17003
encode nested objects,serde_json,,49807980,17350
encode nested objects,serde_json,,49905065,17697
encode nested objects,serde_json,,50474584,18044
encode nested objects,serde_json,,51418793,18391
encode nested objects,serde_json,,52461982,18738
encode nested objects,serde_json,,54252902,19085
encode nested objects,serde_json,,54645480,19432
encode nested objects,serde_json,,56086803,19779
encode nested objects,serde_json,,56375830,20126
encode nested objects,serde_json,,58186278,20473
encode nested objects,serde_json,,57863400,20820
encode nested objects,serde_json,,59528301,21167
encode nested objects,serde_json,,61507023,21514
encode nested objects,serde_json,,62503523,21861
encode nested objects,serde_json,,62027454,22208
encode nested objects,serde_json,,64844021,22555
encode nested objects,serde_json,,64681604,22902
encode nested objects,serde_json,,66394920,23249
encode nested objects,serde_json,,67094826,23596
encode nested objects,serde_json,,67748610,23943
encode nested objects,serde_json,,67388193,24290
encode nested objects,serde_json,,69970132,24637
encode nested objects,serde_json,,71133379,24984
encode nested objects,serde_json,,74044486,25331
encode nested objects,serde_json,,73688897,25678
encode nested objects,serde_json,,73577657,26025
encode nested objects,serde_json,,74652593,26372
encode nested objects,serde_json,,79624190,26719
encode nested objects,serde_json,,77442954,27066
encode nested objects,serde_json,,77019136,27413
encode nested objects,serde_json,,80944284,27760
encode nested objects,serde_json,,79916846,28107
encode nested objects,serde_json,,81260601,28454
encode nested objects,serde_json,,81078536,28801
encode nested objects,serde_json,,82421699,29148
encode nested objects,serde_json,,83877915,29495
encode nested objects,serde_json,,85199824,29842
encode nested objects,serde_json,,85553665,30189
encode nested objects,serde_json,,85995619,30536
encode nested objects,serde_json,,87965132,30883
encode nested objects,serde_json,,87302771,31230
encode nested objects,serde_json,,91886603,31577
encode nested objects,serde_json,,89166226,31924
encode nested objects,serde_json,,91103683,32271
encode nested objects,serde_json,,94158625,32618
encode nested objects,serde_json,,94827752,32965
encode nested objects,serde_json,,94066216,33312
encode nested objects,serde_json,,95510023,33659
encode nested objects,serde_json,,96014159,34006
encode nested objects,serde_json,,97791098,34353
encode nested objects,serde_json,,100662598,34700
