group,function,value,sample_time_nanos,iteration_count
encode nested objects,serde_json,,969636,597
encode nested objects,serde_json,,1943730,1194
encode nested objects,serde_json,,2914257,1791
encode nested objects,serde_json,,3882011,2388
encode nested objects,serde_json,,5122290,2985
encode nested objects,serde_json,,5840097,3582
encode nested objects,serde_json,,6946328,4179
encode nested objects,serde_json,,8239917,4776
encode nested objects,serde_json,,8760817,5373
encode nested objects,serde_json,,9691902,5970
encode nested objects,serde_json,,10666045,6567
encode nested objects,serde_json,,11627437,7164
encode nested objects,serde_json,,12604326,7761
encode nested objects,serde_json,,13614557,8358
encode nested objects,serde_json,,14590465,8955
encode nested objects,serde_json,,15576441,9552
encode nested objects,serde_json,,16715043,10149
encode nested objects,serde_json,,17467002,10746
encode nested objects,serde_json,,18444083,11343
encode nested objects,serde_json,,19439686,11940
encode nested objects,serde_json,,20430532,12537
encode nested objects,serde_json,,21453268,13134
encode nested objects,serde_json,,22384371,13731
encode nested objects,serde_json,,23357934,14328
encode nested objects,serde_json,,24461921,14925
encode nested objects,serde_json,,25347129,15522
encode nested objects,serde_json,,26817509,16119
encode nested objects,serde_json,,27255633,16716
encode nested objects,serde_json,,28185998,17313
encode nested objects,serde_json,,29247734,17910
encode nested objects,serde_json,,30091005,18507
encode nested objects,serde_json,,31154305,19104
encode nested objects,serde_json,,31991133,19701
encode nested objects,serde_json,,33108235,20298
encode nested objects,serde_json,,34253678,20895
encode nested objects,serde_json,,35576963,21492
encode nested objects,serde_json,,36019266,22089
encode nested objects,serde_json,,36958125,22686
encode nested objects,serde_json,,38025944,23283
encode nested objects,serde_json,,38924067,23880
encode nested objects,serde_json,,39830305,24477
encode nested objects,serde_json,,40853149,25074
encode nested objects,serde_json,,41831412,25671
encode nested objects,serde_json,,42933364,26268
encode nested objects,serde_json,,43810828,26865
encode nested objects,serde_json,,44682712,27462
encode nested objects,serde_json,,46084824,28059
encode nested objects,serde_json,,46687135,28656
encode nested objects,serde_json,,47525097,29253
encode nested objects,serde_json,,49140975,29850
encode nested objects,serde_json,,49571347,30447
encode nested objects,serde_json,,50622736,31044
encode nested objects,serde_json,,52166481,31641
encode nested objects,serde_json,,52445751,32238
encode nested objects,serde_json,,53530661,32835
encode nested objects,serde_json,,54610232,33432
encode nested objects,serde_json,,55800590,34029
encode nested objects,serde_json,,56348269,34626
encode nested objects,serde_json,,57335879,35223
encode nested objects,serde_json,,58309501,35820
encode nested objects,serde_json,,59846045,36417
encode nested objects,serde_json,,60379147,37014
encode nested objects,serde_json,,61263013,37611
encode nested objects,serde_json,,62289335,38208
encode nested objects,serde_json,,63363806,38805
encode nested objects,serde_json,,64151413,39402
encode nested objects,serde_json,,65217228,39999
encode nested objects,serde_json,,66260822,40596
encode nested objects,serde_json,,67287814,41193
encode nested objects,serde_json,,68367256,41790
encode nested objects,serde_json,,69290874,42387
encode nested objects,serde_json,,70128656,42984
encode nested objects,serde_json,,71083994,43581
encode nested objects,serde_json,,72025419,44178
encode nested objects,serde_json,,73031632,44775
encode nested objects,serde_json,,74305495,45372
encode nested objects,serde_json,,74914319,45969
encode nested objects,serde_json,,76028353,46566
encode nested objects,serde_json,,77402593,47163
encode nested objects,serde_json,,78182756,47760
encode nested objects,serde_json,,78878863,48357
encode nested objects,serde_json,,79704972,48954
encode nested objects,serde_json,,81477623,49551
encode nested objects,serde_json,,82343094,50148
encode nested objects,serde_json,,82686574,50745
encode nested objects,serde_json,,84309678,51342
encode nested objects,serde_json,,84685137,51939
encode nested objects,serde_json,,85589171,52536
encode nested objects,serde_json,,86668141,53133
encode nested objects,serde_json,,87725369,53730
encode nested objects,serde_json,,88611681,54327
encode nested objects,serde_json,,89749018,54924
encode nested objects,serde_json,,90963099,55521
encode nested objects,serde_json,,91747521,56118
encode nested objects,serde_json,,92346616,56715
encode nested objects,serde_json,,93441556,57312
encode nested objects,serde_json,,94388830,57909
encode nested objects,serde_json,,95339752,58506
encode nested objects,serde_json,,96632409,59103
encode nested objects,serde_json,,97680031,59700
