group,function,value,sample_time_nanos,iteration_count
encode simple object with derive,json_in_type with derive,,1062212,1935
encode simple object with derive,json_in_type with derive,,2078928,3870
encode simple object with derive,json_in_type with derive,,2979116,5805
encode simple object with derive,json_in_type with derive,,4085180,7740
encode simple object with derive,json_in_type with derive,,5016146,9675
encode simple object with derive,json_in_type with derive,,5785398,11610
encode simple object with derive,json_in_type with derive,,6958598,13545
encode simple object with derive,json_in_type with derive,,7896246,15480
encode simple object with derive,json_in_type with derive,,8680808,17415
encode simple object with derive,json_in_type with derive,,10011443,19350
encode simple object with derive,json_in_type with derive,,10629793,21285
encode simple object with derive,json_in_type with derive,,12064182,23220
encode simple object with derive,json_in_type with derive,,12726213,25155
encode simple object with derive,json_in_type with derive,,13761445,27090
encode simple object with derive,json_in_type with derive,,14992243,29025
encode simple object with derive,json_in_type with derive,,15943627,30960
encode simple object with derive,json_in_type with derive,,16649620,32895
encode simple object with derive,json_in_type with derive,,17845443,34830
encode simple object with derive,json_in_type with derive,,18776649,36765
encode simple object with derive,json_in_type with derive,,19985245,38700
encode simple object with derive,json_in_type with derive,,20815201,40635
encode simple object with derive,json_in_type with derive,,21630139,42570
encode simple object with derive,json_in_type with derive,,22677763,44505
encode simple object with derive,json_in_type with derive,,23669454,46440
encode simple object with derive,json_in_type with derive,,24539464,48375
encode simple object with derive,json_in_type with derive,,26057391,50310
encode simple object with derive,json_in_type with derive,,26930027,52245
encode simple object with derive,json_in_type with derive,,27569687,54180
encode simple object with derive,json_in_type with derive,,28745832,56115
encode simple object with derive,json_in_type with derive,,29625783,58050
encode simple object with derive,json_in_type with derive,,30529446,59985
encode simple object with derive,json_in_type with derive,,31448159,61920
encode simple object with derive,json_in_type with derive,,32468193,63855
encode simple object with derive,json_in_type with derive,,33243726,65790
encode simple object with derive,json_in_type with derive,,34795636,67725
encode simple object with derive,json_in_type with derive,,36589471,69660
encode simple object with derive,json_in_type with derive,,37138950,71595
encode simple object with derive,json_in_type with derive,,37823343,73530
encode simple object with derive,json_in_type with derive,,38446202,75465
encode simple object with derive,json_in_type with derive,,39838211,77400
encode simple object with derive,json_in_type with derive,,40304867,79335
encode simple object with derive,json_in_type with derive,,41590497,81270
encode simple object with derive,json_in_type with derive,,42486839,83205
encode simple object with derive,json_in_type with derive,,45668755,85140
encode simple object with derive,json_in_type with derive,,44756064,87075
encode simple object with derive,json_in_type with derive,,45528201,89010
encode simple object with derive,json_in_type with derive,,46670353,90945
encode simple object with derive,json_in_type with derive,,47269506,92880
encode simple object with derive,json_in_type with derive,,49244991,94815
encode simple object with derive,json_in_type with derive,,49884570,96750
encode simple object with derive,json_in_type with derive,,50709065,98685
encode simple object with derive,json_in_type with derive,,51517080,100620
encode simple object with derive,json_in_type with derive,,52094744,102555
encode simple object with derive,json_in_type with derive,,52962340,104490
encode simple object with derive,json_in_type with derive,,55166022,106425
encode simple object with derive,json_in_type with derive,,55434606,108360
encode simple object with derive,json_in_type with derive,,56915473,110295
encode simple object with derive,json_in_type with derive,,57697559,112230
encode simple object with derive,json_in_type with derive,,59449143,114165
encode simple object with derive,json_in_type with derive,,60239025,116100
encode simple object with derive,json_in_type with derive,,61142398,118035
encode simple object with derive,json_in_type with derive,,61576223,119970
encode simple object with derive,json_in_type with derive,,64119901,121905
encode simple object with derive,json_in_type with derive,,63965392,123840
encode simple object with derive,json_in_type with derive,,64687987,125775
encode simple object with derive,json_in_type with derive,,65533624,127710
encode simple object with derive,json_in_type with derive,,68155839,129645
encode simple object with derive,json_in_type with derive,,68191816,131580
encode simple object with derive,json_in_type with derive,,69526008,133515
encode simple object with derive,json_in_type with derive,,69491142,135450
encode simple object with derive,json_in_type with derive,,71230134,137385
encode simple object with derive,json_in_type with derive,,71523543,139320
encode simple object with derive,json_in_type with derive,,72895566,141255
encode simple object with derive,json_in_type with derive,,73658938,143190
encode simple object with derive,json_in_type with derive,,74660325,145125
encode simple object with derive,json_in_type with derive,,76080117,147060
encode simple object with derive,json_in_type with derive,,77076876,148995
encode simple object with derive,json_in_type with derive,,77727106,150930
encode simple object with derive,json_in_type with derive,,78463165,152865
encode simple object with derive,json_in_type with derive,,79200348,154800
encode simple object with derive,json_in_type with derive,,80243263,156735
encode simple object with derive,json_in_type with derive,,83058912,158670
encode simple object with derive,json_in_type with derive,,83235763,160605
encode simple object with derive,json_in_type with derive,,84148755,162540
encode simple object with derive,json_in_type with derive,,84961519,164475
encode simple object with derive,json_in_type with derive,,85337575,166410
encode simple object with derive,json_in_type with derive,,85949933,168345
encode simple object with derive,json_in_type with derive,,86972069,170280
encode simple object with derive,json_in_type with derive,,88631291,172215
encode simple object with derive,json_in_type with derive,,88724755,174150
encode simple object with derive,json_in_type with derive,,89591621,176085
encode simple object with derive,json_in_type with derive,,91072457,178020
encode simple object with derive,json_in_type with derive,,91678603,179955
encode simple object with derive,json_in_type with derive,,93302959,181890
encode simple object with derive,json_in_type with derive,,94302282,183825
encode simple object with derive,json_in_type with derive,,94343800,185760
encode simple object with derive,json_in_type with derive,,95969608,187695
encode simple object with derive,json_in_type with derive,,97149081,189630
encode simple object with derive,json_in_type with derive,,98424832,191565
encode simple object with derive,json_in_type with derive,,99953279,193500
