group,function,value,sample_time_nanos,iteration_count
encode simple object with derive,json_in_type,,1485723,1651
encode simple object with derive,json_in_type,,2130656,3302
encode simple object with derive,json_in_type,,2975834,4953
encode simple object with derive,json_in_type,,4022377,6604
encode simple object with derive,json_in_type,,5144251,8255
encode simple object with derive,json_in_type,,6112702,9906
encode simple object with derive,json_in_type,,7330344,11557
encode simple object with derive,json_in_type,,7927299,13208
encode simple object with derive,json_in_type,,8984432,14859
encode simple object with derive,json_in_type,,10042342,16510
encode simple object with derive,json_in_type,,11104473,18161
encode simple object with derive,json_in_type,,11928153,19812
encode simple object with derive,json_in_type,,12904965,21463
encode simple object with derive,json_in_type,,13896383,23114
encode simple object with derive,json_in_type,,14861285,24765
encode simple object with derive,json_in_type,,15855775,26416
encode simple object with derive,json_in_type,,16993737,28067
encode simple object with derive,json_in_type,,17864991,29718
encode simple object with derive,json_in_type,,18859479,31369
encode simple object with derive,json_in_type,,19923351,33020
encode simple object with derive,json_in_type,,20807252,34671
encode simple object with derive,json_in_type,,21864781,36322
encode simple object with derive,json_in_type,,22811638,37973
encode simple object with derive,json_in_type,,23847489,39624
encode simple object with derive,json_in_type,,24729650,41275
encode simple object with derive,json_in_type,,25803459,42926
encode simple object with derive,json_in_type,,27213826,44577
encode simple object with derive,json_in_type,,27878831,46228
encode simple object with derive,json_in_type,,28619690,47879
encode simple object with derive,json_in_type,,29721326,49530
encode simple object with derive,json_in_type,,30564226,51181
encode simple object with derive,json_in_type,,31561789,52832
encode simple object with derive,json_in_type,,32997139,54483
encode simple object with derive,json_in_type,,33631193,56134
encode simple object with derive,json_in_type,,34559879,57785
encode simple object with derive,json_in_type,,35671491,59436
encode simple object with derive,json_in_type,,36677517,61087
encode simple object with derive,json_in_type,,37529061,62738
encode simple object with derive,json_in_type,,38775682,64389
encode simple object with derive,json_in_type,,39597248,66040
encode simple object with derive,json_in_type,,40602962,67691
encode simple object with derive,json_in_type,,42110276,69342
encode simple object with derive,json_in_type,,42611942,70993
encode simple object with derive,json_in_type,,43893337,72644
encode simple object with derive,json_in_type,,44442882,74295
encode simple object with derive,json_in_type,,45445133,75946
encode simple object with derive,json_in_type,,46389535,77597
encode simple object with derive,json_in_type,,48080136,79248
encode simple object with derive,json_in_type,,48583288,80899
encode simple object with derive,json_in_type,,49371116,82550
encode simple object with derive,json_in_type,,50475622,84201
encode simple object with derive,json_in_type,,51861345,85852
encode simple object with derive,json_in_type,,52517427,87503
encode simple object with derive,json_in_type,,53437267,89154
encode simple object with derive,json_in_type,,54376358,90805
encode simple object with derive,json_in_type,,55667788,92456
encode simple object with derive,json_in_type,,56316890,94107
encode simple object with derive,json_in_type,,57387150,95758
encode simple object with derive,json_in_type,,58313808,97409
encode simple object with derive,json_in_type,,59335066,99060
encode simple object with derive,json_in_type,,60574329,100711
encode simple object with derive,json_in_type,,61311236,102362
encode simple object with derive,json_in_type,,62479203,104013
encode simple object with derive,json_in_type,,63183343,105664
encode simple object with derive,json_in_type,,64240776,107315
encode simple object with derive,json_in_type,,65384343,108966
encode simple object with derive,json_in_type,,66988969,110617
encode simple object with derive,json_in_type,,67321398,112268
encode simple object with derive,json_in_type,,69004249,113919
encode simple object with derive,json_in_type,,69339473,115570
encode simple object with derive,json_in_type,,70649668,117221
encode simple object with derive,json_in_type,,71521147,118872
encode simple object with derive,json_in_type,,72133166,120523
encode simple object with derive,json_in_type,,73186585,122174
encode simple object with derive,json_in_type,,74133711,123825
encode simple object with derive,json_in_type,,75381029,125476
encode simple object with derive,json_in_type,,76218413,127127
encode simple object with derive,json_in_type,,77001992,128778
encode simple object with derive,json_in_type,,78113397,130429
encode simple object with derive,json_in_type,,79158651,132080
encode simple object with derive,json_in_type,,80341546,133731
encode simple object with derive,json_in_type,,82075762,135382
encode simple object with derive,json_in_type,,82086841,137033
encode simple object with derive,json_in_type,,83045043,138684
encode simple object with derive,json_in_type,,84270236,140335
encode simple object with derive,json_in_type,,85359923,141986
encode simple object with derive,json_in_type,,86322155,143637
encode simple object with derive,json_in_type,,87553866,145288
encode simple object with derive,json_in_type,,88072586,146939
encode simple object with derive,json_in_type,,89048485,148590
encode simple object with derive,json_in_type,,90086835,150241
encode simple object with derive,json_in_type,,90997926,151892
encode simple object with derive,json_in_type,,91997555,153543
encode simple object with derive,json_in_type,,93983819,155194
encode simple object with derive,json_in_type,,93882636,156845
encode simple object with derive,json_in_type,,95355473,158496
encode simple object with derive,json_in_type,,95992362,160147
encode simple object with derive,json_in_type,,97033131,161798
encode simple object with derive,json_in_type,,98320005,163449
encode simple object with derive,json_in_type,,99054270,165100
