group,function,value,sample_time_nanos,iteration_count
encode simple object with derive,json_in_type,,1350239,1697
encode simple object with derive,json_in_type,,1997839,3394
encode simple object with derive,json_in_type,,2963416,5091
encode simple object with derive,json_in_type,,3898968,6788
encode simple object with derive,json_in_type,,5374428,8485
encode simple object with derive,json_in_type,,6232191,10182
encode simple object with derive,json_in_type,,6749326,11879
encode simple object with derive,json_in_type,,8202924,13576
encode simple object with derive,json_in_type,,9603747,15273
encode simple object with derive,json_in_type,,10016167,16970
encode simple object with derive,json_in_type,,11093837,18667
encode simple object with derive,json_in_type,,11595806,20364
encode simple object with derive,json_in_type,,12491469,22061
encode simple object with derive,json_in_type,,13498914,23758
encode simple object with derive,json_in_type,,14434760,25455
encode simple object with derive,json_in_type,,15369098,27152
encode simple object with derive,json_in_type,,16536121,28849
encode simple object with derive,json_in_type,,18117410,30546
encode simple object with derive,json_in_type,,19373592,32243
encode simple object with derive,json_in_type,,20428804,33940
encode simple object with derive,json_in_type,,20773704,35637
encode simple object with derive,json_in_type,,21164789,37334
encode simple object with derive,json_in_type,,22638557,39031
encode simple object with derive,json_in_type,,23584519,40728
encode simple object with derive,json_in_type,,25173870,42425
encode simple object with derive,json_in_type,,25548756,44122
encode simple object with derive,json_in_type,,26938382,45819
encode simple object with derive,json_in_type,,27505505,47516
encode simple object with derive,json_in_type,,28869107,49213
encode simple object with derive,json_in_type,,29779012,50910
encode simple object with derive,json_in_type,,30269996,52607
encode simple object with derive,json_in_type,,31313976,54304
encode simple object with derive,json_in_type,,32591286,56001
encode simple object with derive,json_in_type,,33115809,57698
encode simple object with derive,json_in_type,,34714098,59395
encode simple object with derive,json_in_type,,35213027,61092
encode simple object with derive,json_in_type,,36911532,62789
encode simple object with derive,json_in_type,,37965963,64486
encode simple object with derive,json_in_type,,37515394,66183
encode simple object with derive,json_in_type,,39317024,67880
encode simple object with derive,json_in_type,,39785841,69577
encode simple object with derive,json_in_type,,41398357,71274
encode simple object with derive,json_in_type,,43306628,72971
encode simple object with derive,json_in_type,,43096808,74668
encode simple object with derive,json_in_type,,43664413,76365
encode simple object with derive,json_in_type,,45587942,78062
encode simple object with derive,json_in_type,,47141292,79759
encode simple object with derive,json_in_type,,47783062,81456
encode simple object with derive,json_in_type,,48766028,83153
encode simple object with derive,json_in_type,,50128937,84850
encode simple object with derive,json_in_type,,49776880,86547
encode simple object with derive,json_in_type,,51993959,88244
encode simple object with derive,json_in_type,,51879366,89941
encode simple object with derive,json_in_type,,52814916,91638
encode simple object with derive,json_in_type,,54205990,93335
encode simple object with derive,json_in_type,,54796121,95032
encode simple object with derive,json_in_type,,56182068,96729
encode simple object with derive,json_in_type,,57087243,98426
encode simple object with derive,json_in_type,,58767154,100123
encode simple object with derive,json_in_type,,59081884,101820
encode simple object with derive,json_in_type,,59181955,103517
encode simple object with derive,json_in_type,,60989477,105214
encode simple object with derive,json_in_type,,62016268,106911
encode simple object with derive,json_in_type,,64069213,108608
encode simple object with derive,json_in_type,,64044767,110305
encode simple object with derive,json_in_type,,65048736,112002
encode simple object with derive,json_in_type,,65519538,113699
encode simple object with derive,json_in_type,,67701962,115396
encode simple object with derive,json_in_type,,67221882,117093
encode simple object with derive,json_in_type,,69333101,118790
encode simple object with derive,json_in_type,,70318515,120487
encode simple object with derive,json_in_type,,71905285,122184
encode simple object with derive,json_in_type,,71173931,123881
encode simple object with derive,json_in_type,,72174476,125578
encode simple object with derive,json_in_type,,73851845,127275
encode simple object with derive,json_in_type,,74853277,128972
encode simple object with derive,json_in_type,,79378769,130669
encode simple object with derive,json_in_type,,76011135,132366
encode simple object with derive,json_in_type,,80876485,134063
encode simple object with derive,json_in_type,,78327483,135760
encode simple object with derive,json_in_type,,79786739,137457
encode simple object with derive,json_in_type,,81393031,139154
encode simple object with derive,json_in_type,,82389546,140851
encode simple object with derive,json_in_type,,82520130,142548
encode simple object with derive,json_in_type,,86626890,144245
encode simple object with derive,json_in_type,,84941868,145942
encode simple object with derive,json_in_type,,86960183,147639
encode simple object with derive,json_in_type,,87684165,149336
encode simple object with derive,json_in_type,,88256296,151033
encode simple object with derive,json_in_type,,91625128,152730
encode simple object with derive,json_in_type,,90708362,154427
encode simple object with derive,json_in_type,,90849951,156124
encode simple object with derive,json_in_type,,90718714,157821
encode simple object with derive,json_in_type,,92455223,159518
encode simple object with derive,json_in_type,,93689064,161215
encode simple object with derive,json_in_type,,93282469,162912
encode simple object with derive,json_in_type,,94660538,164609
encode simple object with derive,json_in_type,,95153727,166306
encode simple object with derive,json_in_type,,96888022,168003
encode simple object with derive,json_in_type,,100157979,169700
