group,function,value,sample_time_nanos,iteration_count
encode simple object with derive,serde_json with derive,,1048436,2135
encode simple object with derive,serde_json with derive,,2107091,4270
encode simple object with derive,serde_json with derive,,3030712,6405
encode simple object with derive,serde_json with derive,,3934538,8540
encode simple object with derive,serde_json with derive,,4817002,10675
encode simple object with derive,serde_json with derive,,5715065,12810
encode simple object with derive,serde_json with derive,,7140989,14945
encode simple object with derive,serde_json with derive,,7825423,17080
encode simple object with derive,serde_json with derive,,9059446,19215
encode simple object with derive,serde_json with derive,,9904601,21350
encode simple object with derive,serde_json with derive,,10914134,23485
encode simple object with derive,serde_json with derive,,11791057,25620
encode simple object with derive,serde_json with derive,,13053956,27755
encode simple object with derive,serde_json with derive,,13967028,29890
encode simple object with derive,serde_json with derive,,14660578,32025
encode simple object with derive,serde_json with derive,,16017122,34160
encode simple object with derive,serde_json with derive,,16898213,36295
encode simple object with derive,serde_json with derive,,17634264,38430
encode simple object with derive,serde_json with derive,,18589343,40565
encode simple object with derive,serde_json with derive,,19761933,42700
encode simple object with derive,serde_json with derive,,20813624,44835
encode simple object with derive,serde_json with derive,,21560054,46970
encode simple object with derive,serde_json with derive,,22528380,49105
encode simple object with derive,serde_json with derive,,23685849,51240
encode simple object with derive,serde_json with derive,,24250930,53375
encode simple object with derive,serde_json with derive,,25389224,55510
encode simple object with derive,serde_json with derive,,26461705,57645
encode simple object with derive,serde_json with derive,,27405103,59780
encode simple object with derive,serde_json with derive,,28472354,61915
encode simple object with derive,serde_json with derive,,29440861,64050
encode simple object with derive,serde_json with derive,,30371234,66185
encode simple object with derive,serde_json with derive,,31418418,68320
encode simple object with derive,serde_json with derive,,32537296,70455
encode simple object with derive,serde_json with derive,,33151107,72590
encode simple object with derive,serde_json with derive,,34932848,74725
encode simple object with derive,serde_json with derive,,35205699,76860
encode simple object with derive,serde_json with derive,,36046135,78995
encode simple object with derive,serde_json with derive,,37404752,81130
encode simple object with derive,serde_json with derive,,38463669,83265
encode simple object with derive,serde_json with derive,,39446751,85400
encode simple object with derive,serde_json with derive,,40239908,87535
encode simple object with derive,serde_json with derive,,41560995,89670
encode simple object with derive,serde_json with derive,,42294461,91805
encode simple object with derive,serde_json with derive,,43811694,93940
encode simple object with derive,serde_json with derive,,44719066,96075
encode simple object with derive,serde_json with derive,,45593044,98210
encode simple object with derive,serde_json with derive,,46714767,100345
encode simple object with derive,serde_json with derive,,47480394,102480
encode simple object with derive,serde_json with derive,,47709392,104615
encode simple object with derive,serde_json with derive,,49472368,106750
encode simple object with derive,serde_json with derive,,50198439,108885
encode simple object with derive,serde_json with derive,,51072648,111020
encode simple object with derive,serde_json with derive,,51725973,113155
encode simple object with derive,serde_json with derive,,53083429,115290
encode simple object with derive,serde_json with derive,,54597227,117425
encode simple object with derive,serde_json with derive,,55208522,119560
encode simple object with derive,serde_json with derive,,72644234,121695
encode simple object with derive,serde_json with derive,,74226791,123830
encode simple object with derive,serde_json with derive,,75812203,125965
encode simple object with derive,serde_json with derive,,76270853,128100
encode simple object with derive,serde_json with derive,,76920421,130235
encode simple object with derive,serde_json with derive,,77672321,132370
encode simple object with derive,serde_json with derive,,78453834,134505
encode simple object with derive,serde_json with derive,,80036371,136640
encode simple object with derive,serde_json with derive,,81501349,138775
encode simple object with derive,serde_json with derive,,82888790,140910
encode simple object with derive,serde_json with derive,,83763670,143045
encode simple object with derive,serde_json with derive,,85602839,145180
encode simple object with derive,serde_json with derive,,86444336,147315
encode simple object with derive,serde_json with derive,,87477364,149450
encode simple object with derive,serde_json with derive,,70782362,151585
encode simple object with derive,serde_json with derive,,71273923,153720
encode simple object with derive,serde_json with derive,,72233932,155855
encode simple object with derive,serde_json with derive,,72511243,157990
encode simple object with derive,serde_json with derive,,74852482,160125
encode simple object with derive,serde_json with derive,,74582195,162260
encode simple object with derive,serde_json with derive,,76041400,164395
encode simple object with derive,serde_json with derive,,82362282,166530
encode simple object with derive,serde_json with derive,,77380180,168665
encode simple object with derive,serde_json with derive,,78167487,170800
encode simple object with derive,serde_json with derive,,79256880,172935
encode simple object with derive,serde_json with derive,,81099123,175070
encode simple object with derive,serde_json with derive,,81827459,177205
encode simple object with derive,serde_json with derive,,82951066,179340
encode simple object with derive,serde_json with derive,,84501552,181475
encode simple object with derive,serde_json with derive,,85227724,183610
encode simple object with derive,serde_json with derive,,86382159,185745
encode simple object with derive,serde_json with derive,,87007990,187880
encode simple object with derive,serde_json with derive,,88487013,190015
encode simple object with derive,serde_json with derive,,89754901,192150
encode simple object with derive,serde_json with derive,,90170630,194285
encode simple object with derive,serde_json with derive,,91323080,196420
encode simple object with derive,serde_json with derive,,92023624,198555
encode simple object with derive,serde_json with derive,,93960636,200690
encode simple object with derive,serde_json with derive,,93454647,202825
encode simple object with derive,serde_json with derive,,94293530,204960
encode simple object with derive,serde_json with derive,,95550907,207095
encode simple object with derive,serde_json with derive,,97061710,209230
encode simple object with derive,serde_json with derive,,97808068,211365
encode simple object with derive,serde_json with derive,,99659539,213500
