group,function,value,sample_time_nanos,iteration_count
encode simple object with derive,serde_json,,1511817,1325
encode simple object with derive,serde_json,,2067025,2650
encode simple object with derive,serde_json,,2938741,3975
encode simple object with derive,serde_json,,3910750,5300
encode simple object with derive,serde_json,,4905382,6625
encode simple object with derive,serde_json,,5999401,7950
encode simple object with derive,serde_json,,6892408,9275
encode simple object with derive,serde_json,,7882817,10600
encode simple object with derive,serde_json,,8937802,11925
encode simple object with derive,serde_json,,10264932,13250
encode simple object with derive,serde_json,,10793996,14575
encode simple object with derive,serde_json,,11782421,15900
encode simple object with derive,serde_json,,12711944,17225
encode simple object with derive,serde_json,,13722231,18550
encode simple object with derive,serde_json,,14662191,19875
encode simple object with derive,serde_json,,15635262,21200
encode simple object with derive,serde_json,,16668801,22525
encode simple object with derive,serde_json,,18161749,23850
encode simple object with derive,serde_json,,18580433,25175
encode simple object with derive,serde_json,,19535081,26500
encode simple object with derive,serde_json,,20567021,27825
encode simple object with derive,serde_json,,21479690,29150
encode simple object with derive,serde_json,,23235037,30475
encode simple object with derive,serde_json,,23861316,31800
encode simple object with derive,serde_json,,24441610,33125
encode simple object with derive,serde_json,,25407031,34450
encode simple object with derive,serde_json,,27157750,35775
encode simple object with derive,serde_json,,27560411,37100
encode simple object with derive,serde_json,,28276135,38425
encode simple object with derive,serde_json,,30313101,39750
encode simple object with derive,serde_json,,30369243,41075
encode simple object with derive,serde_json,,31873914,42400
encode simple object with derive,serde_json,,32403574,43725
encode simple object with derive,serde_json,,33513415,45050
encode simple object with derive,serde_json,,34328275,46375
encode simple object with derive,serde_json,,35243769,47700
encode simple object with derive,serde_json,,36370482,49025
encode simple object with derive,serde_json,,37355694,50350
encode simple object with derive,serde_json,,38679819,51675
encode simple object with derive,serde_json,,40204359,53000
encode simple object with derive,serde_json,,40824268,54325
encode simple object with derive,serde_json,,41331197,55650
encode simple object with derive,serde_json,,42026467,56975
encode simple object with derive,serde_json,,43293622,58300
encode simple object with derive,serde_json,,44310017,59625
encode simple object with derive,serde_json,,45209209,60950
encode simple object with derive,serde_json,,46317397,62275
encode simple object with derive,serde_json,,47021865,63600
encode simple object with derive,serde_json,,47980817,64925
encode simple object with derive,serde_json,,48980965,66250
encode simple object with derive,serde_json,,50205979,67575
encode simple object with derive,serde_json,,51018722,68900
encode simple object with derive,serde_json,,52329377,70225
encode simple object with derive,serde_json,,53151672,71550
encode simple object with derive,serde_json,,53786788,72875
encode simple object with derive,serde_json,,54784107,74200
encode simple object with derive,serde_json,,56293172,75525
encode simple object with derive,serde_json,,56817172,76850
encode simple object with derive,serde_json,,57724096,78175
encode simple object with derive,serde_json,,59366889,79500
encode simple object with derive,serde_json,,59758462,80825
encode simple object with derive,serde_json,,60639227,82150
encode simple object with derive,serde_json,,62836982,83475
encode simple object with derive,serde_json,,63765003,84800
encode simple object with derive,serde_json,,64830432,86125
encode simple object with derive,serde_json,,65585917,87450
encode simple object with derive,serde_json,,66585927,88775
encode simple object with derive,serde_json,,67186507,90100
encode simple object with derive,serde_json,,67706057,91425
encode simple object with derive,serde_json,,68562370,92750
encode simple object with derive,serde_json,,69327281,94075
encode simple object with derive,serde_json,,70531712,95400
encode simple object with derive,serde_json,,71790899,96725
encode simple object with derive,serde_json,,72592801,98050
encode simple object with derive,serde_json,,73940767,99375
encode simple object with derive,serde_json,,74614966,100700
encode simple object with derive,serde_json,,75709184,102025
encode simple object with derive,serde_json,,76289932,103350
encode simple object with derive,serde_json,,77281008,104675
encode simple object with derive,serde_json,,78569077,106000
encode simple object with derive,serde_json,,79287940,107325
encode simple object with derive,serde_json,,80606630,108650
encode simple object with derive,serde_json,,81180420,109975
encode simple object with derive,serde_json,,82467131,111300
encode simple object with derive,serde_json,,83501767,112625
encode simple object with derive,serde_json,,84612701,113950
encode simple object with derive,serde_json,,85589267,115275
encode simple object with derive,serde_json,,86859026,116600
encode simple object with derive,serde_json,,87026522,117925
encode simple object with derive,serde_json,,88569599,119250
encode simple object with derive,serde_json,,88923600,120575
encode simple object with derive,serde_json,,89949462,121900
encode simple object with derive,serde_json,,91259568,123225
encode simple object with derive,serde_json,,91981897,124550
encode simple object with derive,serde_json,,92955434,125875
encode simple object with derive,serde_json,,93916589,127200
encode simple object with derive,serde_json,,94966419,128525
encode simple object with derive,serde_json,,95854695,129850
encode simple object with derive,serde_json,,97762011,131175
encode simple object with derive,serde_json,,98272041,132500
