group,function,value,sample_time_nanos,iteration_count
encode simple object with derive,serde_json,,1074826,2101
encode simple object with derive,serde_json,,2078820,4202
encode simple object with derive,serde_json,,3163736,6303
encode simple object with derive,serde_json,,3831632,8404
encode simple object with derive,serde_json,,5377076,10505
encode simple object with derive,serde_json,,6134761,12606
encode simple object with derive,serde_json,,6802747,14707
encode simple object with derive,serde_json,,7943487,16808
encode simple object with derive,serde_json,,8873232,18909
encode simple object with derive,serde_json,,9894058,21010
encode simple object with derive,serde_json,,11331881,23111
encode simple object with derive,serde_json,,12274561,25212
encode simple object with derive,serde_json,,13070487,27313
encode simple object with derive,serde_json,,13826638,29414
encode simple object with derive,serde_json,,14442588,31515
encode simple object with derive,serde_json,,15233434,33616
encode simple object with derive,serde_json,,16573845,35717
encode simple object with derive,serde_json,,18624944,37818
encode simple object with derive,serde_json,,18729169,39919
encode simple object with derive,serde_json,,19469159,42020
encode simple object with derive,serde_json,,20093375,44121
encode simple object with derive,serde_json,,21071551,46222
encode simple object with derive,serde_json,,23334214,48323
encode simple object with derive,serde_json,,24753343,50424
encode simple object with derive,serde_json,,24442172,52525
encode simple object with derive,serde_json,,24716524,54626
encode simple object with derive,serde_json,,26969640,56727
encode simple object with derive,serde_json,,27996446,58828
encode simple object with derive,serde_json,,28072449,60929
encode simple object with derive,serde_json,,28794696,63030
encode simple object with derive,serde_json,,31169800,65131
encode simple object with derive,serde_json,,31665454,67232
encode simple object with derive,serde_json,,32234116,69333
encode simple object with derive,serde_json,,33885028,71434
encode simple object with derive,serde_json,,34037182,73535
encode simple object with derive,serde_json,,36279477,75636
encode simple object with derive,serde_json,,37987575,77737
encode simple object with derive,serde_json,,37367817,79838
encode simple object with derive,serde_json,,39005134,81939
encode simple object with derive,serde_json,,39741609,84040
encode simple object with derive,serde_json,,41150829,86141
encode simple object with derive,serde_json,,43698535,88242
encode simple object with derive,serde_json,,43062838,90343
encode simple object with derive,serde_json,,43640406,92444
encode simple object with derive,serde_json,,45080073,94545
encode simple object with derive,serde_json,,45736419,96646
encode simple object with derive,serde_json,,47093452,98747
encode simple object with derive,serde_json,,47045822,100848
encode simple object with derive,serde_json,,48174149,102949
encode simple object with derive,serde_json,,48648163,105050
encode simple object with derive,serde_json,,50255484,107151
encode simple object with derive,serde_json,,50859030,109252
encode simple object with derive,serde_json,,52325708,111353
encode simple object with derive,serde_json,,52359671,113454
encode simple object with derive,serde_json,,54938785,115555
encode simple object with derive,serde_json,,54792151,117656
encode simple object with derive,serde_json,,56300617,119757
encode simple object with derive,serde_json,,57535442,121858
encode simple object with derive,serde_json,,57923978,123959
encode simple object with derive,serde_json,,60003448,126060
encode simple object with derive,serde_json,,59650059,128161
encode simple object with derive,serde_json,,62074324,130262
encode simple object with derive,serde_json,,61892444,132363
encode simple object with derive,serde_json,,62007148,134464
encode simple object with derive,serde_json,,64345704,136565
encode simple object with derive,serde_json,,64863891,138666
encode simple object with derive,serde_json,,65631192,140767
encode simple object with derive,serde_json,,66492620,142868
encode simple object with derive,serde_json,,66935828,144969
encode simple object with derive,serde_json,,69127058,147070
encode simple object with derive,serde_json,,69803270,149171
encode simple object with derive,serde_json,,70598895,151272
encode simple object with derive,serde_json,,72572749,153373
encode simple object with derive,serde_json,,73629111,155474
encode simple object with derive,serde_json,,75155470,157575
encode simple object with derive,serde_json,,74419036,159676
encode simple object with derive,serde_json,,75698163,161777
encode simple object with derive,serde_json,,77216226,163878
encode simple object with derive,serde_json,,78367486,165979
encode simple object with derive,serde_json,,77834050,168080
encode simple object with derive,serde_json,,79323911,170181
encode simple object with derive,serde_json,,80725086,172282
encode simple object with derive,serde_json,,80904992,174383
encode simple object with derive,serde_json,,80642442,176484
encode simple object with derive,serde_json,,82183849,178585
encode simple object with derive,serde_json,,83475461,180686
encode simple object with derive,serde_json,,87250135,182787
encode simple object with derive,serde_json,,86197390,184888
encode simple object with derive,serde_json,,87557910,186989
encode simple object with derive,serde_json,,87797978,189090
encode simple object with derive,serde_json,,88898271,191191
encode simple object with derive,serde_json,,88982829,193292
encode simple object with derive,serde_json,,90485544,195393
encode simple object with derive,serde_json,,90379897,197494
encode simple object with derive,serde_json,,92242784,199595
encode simple object with derive,serde_json,,94258066,201696
encode simple object with derive,serde_json,,95552271,203797
encode simple object with derive,serde_json,,98638522,205898
encode simple object with derive,serde_json,,98207267,207999
encode simple object with derive,serde_json,,98761983,210100
