group,function,value,sample_time_nanos,iteration_count
encode simple object with macro,json_in_type,,1072508,3063
encode simple object with macro,json_in_type,,2070136,6126
encode simple object with macro,json_in_type,,2940196,9189
encode simple object with macro,json_in_type,,3918148,12252
encode simple object with macro,json_in_type,,5452926,15315
encode simple object with macro,json_in_type,,5916319,18378
encode simple object with macro,json_in_type,,7319082,21441
encode simple object with macro,json_in_type,,8203569,24504
encode simple object with macro,json_in_type,,9099568,27567
encode simple object with macro,json_in_type,,9804261,30630
encode simple object with macro,json_in_type,,10740274,33693
encode simple object with macro,json_in_type,,11724627,36756
encode simple object with macro,json_in_type,,12774443,39819
encode simple object with macro,json_in_type,,13737506,42882
encode simple object with macro,json_in_type,,14721179,45945
encode simple object with macro,json_in_type,,15680064,49008
encode simple object with macro,json_in_type,,16621338,52071
encode simple object with macro,json_in_type,,17627251,55134
encode simple object with macro,json_in_type,,18421660,58197
encode simple object with macro,json_in_type,,19575089,61260
encode simple object with macro,json_in_type,,20482849,64323
encode simple object with macro,json_in_type,,21418883,67386
encode simple object with macro,json_in_type,,22432100,70449
encode simple object with macro,json_in_type,,23376930,73512
encode simple object with macro,json_in_type,,25184126,76575
encode simple object with macro,json_in_type,,25508781,79638
encode simple object with macro,json_in_type,,26434213,82701
encode simple object with macro,json_in_type,,27443675,85764
encode simple object with macro,json_in_type,,28425142,88827
encode simple object with macro,json_in_type,,29298869,91890
encode simple object with macro,json_in_type,,31012612,94953
encode simple object with macro,json_in_type,,31268577,98016
encode simple object with macro,json_in_type,,32345845,101079
encode simple object with macro,json_in_type,,33350717,104142
encode simple object with macro,json_in_type,,34057582,107205
encode simple object with macro,json_in_type,,35415863,110268
encode simple object with macro,json_in_type,,36287365,113331
encode simple object with macro,json_in_type,,37118254,116394
encode simple object with macro,json_in_type,,38173980,119457
encode simple object with macro,json_in_type,,38936820,122520
encode simple object with macro,json_in_type,,40175417,125583
encode simple object with macro,json_in_type,,41110739,128646
encode simple object with macro,json_in_type,,41931799,131709
encode simple object with macro,json_in_type,,42811427,134772
encode simple object with macro,json_in_type,,43800058,137835
encode simple object with macro,json_in_type,,44859371,140898
encode simple object with macro,json_in_type,,46411312,143961
encode simple object with macro,json_in_type,,47036716,147024
encode simple object with macro,json_in_type,,47670176,150087
encode simple object with macro,json_in_type,,48780023,153150
encode simple object with macro,json_in_type,,50261312,156213
encode simple object with macro,json_in_type,,51028441,159276
encode simple object with macro,json_in_type,,51913270,162339
encode simple object with macro,json_in_type,,52802655,165402
encode simple object with macro,json_in_type,,53679048,168465
encode simple object with macro,json_in_type,,54500838,171528
encode simple object with macro,json_in_type,,55564108,174591
encode simple object with macro,json_in_type,,56715844,177654
encode simple object with macro,json_in_type,,57885122,180717
encode simple object with macro,json_in_type,,58745064,183780
encode simple object with macro,json_in_type,,59660768,186843
encode simple object with macro,json_in_type,,60770486,189906
encode simple object with macro,json_in_type,,62040792,192969
encode simple object with macro,json_in_type,,63031927,196032
encode simple object with macro,json_in_type,,64106419,199095
encode simple object with macro,json_in_type,,65271219,202158
encode simple object with macro,json_in_type,,66137592,205221
encode simple object with macro,json_in_type,,67937054,208284
encode simple object with macro,json_in_type,,67883864,211347
encode simple object with macro,json_in_type,,69925969,214410
encode simple object with macro,json_in_type,,70159152,217473
encode simple object with macro,json_in_type,,71082422,220536
encode simple object with macro,json_in_type,,71720690,223599
encode simple object with macro,json_in_type,,72632580,226662
encode simple object with macro,json_in_type,,73888598,229725
encode simple object with macro,json_in_type,,75031186,232788
encode simple object with macro,json_in_type,,76306332,235851
encode simple object with macro,json_in_type,,76584470,238914
encode simple object with macro,json_in_type,,78076889,241977
encode simple object with macro,json_in_type,,79019014,245040
encode simple object with macro,json_in_type,,79995292,248103
encode simple object with macro,json_in_type,,81327583,251166
encode simple object with macro,json_in_type,,81837022,254229
encode simple object with macro,json_in_type,,83745477,257292
encode simple object with macro,json_in_type,,83806761,260355
encode simple object with macro,json_in_type,,84859401,263418
encode simple object with macro,json_in_type,,85476461,266481
encode simple object with macro,json_in_type,,86519323,269544
encode simple object with macro,json_in_type,,87758611,272607
encode simple object with macro,json_in_type,,88650072,275670
encode simple object with macro,json_in_type,,89883951,278733
encode simple object with macro,json_in_type,,90879905,281796
encode simple object with macro,json_in_type,,91627538,284859
encode simple object with macro,json_in_type,,92739117,287922
encode simple object with macro,json_in_type,,93670813,290985
encode simple object with macro,json_in_type,,94411943,294048
encode simple object with macro,json_in_type,,95903181,297111
encode simple object with macro,json_in_type,,96761469,300174
encode simple object with macro,json_in_type,,97755080,303237
encode simple object with macro,json_in_type,,98669052,306300
