group,function,value,sample_time_nanos,iteration_count
encode simple object with macro,json_in_type,,1106445,3079
encode simple object with macro,json_in_type,,2044222,6158
encode simple object with macro,json_in_type,,2892560,9237
encode simple object with macro,json_in_type,,4071161,12316
encode simple object with macro,json_in_type,,5121712,15395
encode simple object with macro,json_in_type,,5825668,18474
encode simple object with macro,json_in_type,,6795695,21553
encode simple object with macro,json_in_type,,7776124,24632
encode simple object with macro,json_in_type,,8732165,27711
encode simple object with macro,json_in_type,,9707403,30790
encode simple object with macro,json_in_type,,10680436,33869
encode simple object with macro,json_in_type,,11811859,36948
encode simple object with macro,json_in_type,,12548456,40027
encode simple object with macro,json_in_type,,13590901,43106
encode simple object with macro,json_in_type,,14571079,46185
encode simple object with macro,json_in_type,,15692501,49264
encode simple object with macro,json_in_type,,16478222,52343
encode simple object with macro,json_in_type,,17461986,55422
encode simple object with macro,json_in_type,,18961501,58501
encode simple object with macro,json_in_type,,19393024,61580
encode simple object with macro,json_in_type,,20361488,64659
encode simple object with macro,json_in_type,,21332680,67738
encode simple object with macro,json_in_type,,22316263,70817
encode simple object with macro,json_in_type,,23610311,73896
encode simple object with macro,json_in_type,,24477936,76975
encode simple object with macro,json_in_type,,26614273,80054
encode simple object with macro,json_in_type,,26953623,83133
encode simple object with macro,json_in_type,,27419229,86212
encode simple object with macro,json_in_type,,28327421,89291
encode simple object with macro,json_in_type,,29888944,92370
encode simple object with macro,json_in_type,,30345874,95449
encode simple object with macro,json_in_type,,31954296,98528
encode simple object with macro,json_in_type,,32233682,101607
encode simple object with macro,json_in_type,,33568267,104686
encode simple object with macro,json_in_type,,34401086,107765
encode simple object with macro,json_in_type,,35359542,110844
encode simple object with macro,json_in_type,,36516222,113923
encode simple object with macro,json_in_type,,37408954,117002
encode simple object with macro,json_in_type,,38456348,120081
encode simple object with macro,json_in_type,,39297163,123160
encode simple object with macro,json_in_type,,41096101,126239
encode simple object with macro,json_in_type,,43389964,129318
encode simple object with macro,json_in_type,,42499405,132397
encode simple object with macro,json_in_type,,43373934,135476
encode simple object with macro,json_in_type,,44498813,138555
encode simple object with macro,json_in_type,,45210184,141634
encode simple object with macro,json_in_type,,46068050,144713
encode simple object with macro,json_in_type,,47813289,147792
encode simple object with macro,json_in_type,,47970596,150871
encode simple object with macro,json_in_type,,49548749,153950
encode simple object with macro,json_in_type,,50055815,157029
encode simple object with macro,json_in_type,,54015927,160108
encode simple object with macro,json_in_type,,54386354,163187
encode simple object with macro,json_in_type,,55612466,166266
encode simple object with macro,json_in_type,,57086152,169345
encode simple object with macro,json_in_type,,58011868,172424
encode simple object with macro,json_in_type,,57302039,175503
encode simple object with macro,json_in_type,,58069856,178582
encode simple object with macro,json_in_type,,58226541,181661
encode simple object with macro,json_in_type,,59799455,184740
encode simple object with macro,json_in_type,,62992961,187819
encode simple object with macro,json_in_type,,64079519,190898
encode simple object with macro,json_in_type,,65743224,193977
encode simple object with macro,json_in_type,,68382647,197056
encode simple object with macro,json_in_type,,68637777,200135
encode simple object with macro,json_in_type,,69785862,203214
encode simple object with macro,json_in_type,,69428397,206293
encode simple object with macro,json_in_type,,71382130,209372
encode simple object with macro,json_in_type,,70440395,212451
encode simple object with macro,json_in_type,,70455362,215530
encode simple object with macro,json_in_type,,74085103,218609
encode simple object with macro,json_in_type,,76240975,221688
encode simple object with macro,json_in_type,,77413775,224767
encode simple object with macro,json_in_type,,73247754,227846
encode simple object with macro,json_in_type,,77214377,230925
encode simple object with macro,json_in_type,,74896800,234004
encode simple object with macro,json_in_type,,77058994,237083
encode simple object with macro,json_in_type,,76584761,240162
encode simple object with macro,json_in_type,,77244142,243241
encode simple object with macro,json_in_type,,79819856,246320
encode simple object with macro,json_in_type,,80315190,249399
encode simple object with macro,json_in_type,,80635343,252478
encode simple object with macro,json_in_type,,82344124,255557
encode simple object with macro,json_in_type,,83882963,258636
encode simple object with macro,json_in_type,,83413779,261715
encode simple object with macro,json_in_type,,85420910,264794
encode simple object with macro,json_in_type,,90672004,267873
encode simple object with macro,json_in_type,,94348150,270952
encode simple object with macro,json_in_type,,109649923,274031
encode simple object with macro,json_in_type,,107733081,277110
encode simple object with macro,json_in_type,,92606638,280189
encode simple object with macro,json_in_type,,92111766,283268
encode simple object with macro,json_in_type,,94509264,286347
encode simple object with macro,json_in_type,,101792357,289426
encode simple object with macro,json_in_type,,99633909,292505
encode simple object with macro,json_in_type,,97859816,295584
encode simple object with macro,json_in_type,,101551391,298663
encode simple object with macro,json_in_type,,103411825,301742
encode simple object with macro,json_in_type,,104129186,304821
encode simple object with macro,json_in_type,,104459489,307900
