group,function,value,sample_time_nanos,iteration_count
encode simple object with macro,serde_json,,1462216,770
encode simple object with macro,serde_json,,2499402,1540
encode simple object with macro,serde_json,,3326347,2310
encode simple object with macro,serde_json,,3925384,3080
encode simple object with macro,serde_json,,4909115,3850
encode simple object with macro,serde_json,,6219706,4620
encode simple object with macro,serde_json,,6852236,5390
encode simple object with macro,serde_json,,7864875,6160
encode simple object with macro,serde_json,,8881929,6930
encode simple object with macro,serde_json,,9776303,7700
encode simple object with macro,serde_json,,10750666,8470
encode simple object with macro,serde_json,,11769412,9240
encode simple object with macro,serde_json,,12979523,10010
encode simple object with macro,serde_json,,14223355,10780
encode simple object with macro,serde_json,,14695897,11550
encode simple object with macro,serde_json,,15677778,12320
encode simple object with macro,serde_json,,16807075,13090
encode simple object with macro,serde_json,,17605580,13860
encode simple object with macro,serde_json,,19150952,14630
encode simple object with macro,serde_json,,20055848,15400
encode simple object with macro,serde_json,,20619865,16170
encode simple object with macro,serde_json,,21557060,16940
encode simple object with macro,serde_json,,22632997,17710
encode simple object with macro,serde_json,,25098676,18480
encode simple object with macro,serde_json,,24566611,19250
encode simple object with macro,serde_json,,25972839,20020
encode simple object with macro,serde_json,,26517327,20790
encode simple object with macro,serde_json,,27904320,21560
encode simple object with macro,serde_json,,28988989,22330
encode simple object with macro,serde_json,,31009010,23100
encode simple object with macro,serde_json,,31045828,23870
encode simple object with macro,serde_json,,31959586,24640
encode simple object with macro,serde_json,,32458110,25410
encode simple object with macro,serde_json,,33550838,26180
encode simple object with macro,serde_json,,34639049,26950
encode simple object with macro,serde_json,,35443956,27720
encode simple object with macro,serde_json,,36778072,28490
encode simple object with macro,serde_json,,37343755,29260
encode simple object with macro,serde_json,,38458518,30030
encode simple object with macro,serde_json,,40256723,30800
encode simple object with macro,serde_json,,40465233,31570
encode simple object with macro,serde_json,,41333229,32340
encode simple object with macro,serde_json,,42945613,33110
encode simple object with macro,serde_json,,43665049,33880
encode simple object with macro,serde_json,,44989582,34650
encode simple object with macro,serde_json,,45732701,35420
encode simple object with macro,serde_json,,46806852,36190
encode simple object with macro,serde_json,,48070147,36960
encode simple object with macro,serde_json,,49356680,37730
encode simple object with macro,serde_json,,49190267,38500
encode simple object with macro,serde_json,,50215502,39270
encode simple object with macro,serde_json,,51904382,40040
encode simple object with macro,serde_json,,53030636,40810
encode simple object with macro,serde_json,,53923520,41580
encode simple object with macro,serde_json,,55520674,42350
encode simple object with macro,serde_json,,55200786,43120
encode simple object with macro,serde_json,,55850471,43890
encode simple object with macro,serde_json,,57858834,44660
encode simple object with macro,serde_json,,57891668,45430
encode simple object with macro,serde_json,,60457420,46200
encode simple object with macro,serde_json,,60589858,46970
encode simple object with macro,serde_json,,63095103,47740
encode simple object with macro,serde_json,,62717767,48510
encode simple object with macro,serde_json,,63233871,49280
encode simple object with macro,serde_json,,63917568,50050
encode simple object with macro,serde_json,,65182371,50820
encode simple object with macro,serde_json,,66427099,51590
encode simple object with macro,serde_json,,69256582,52360
encode simple object with macro,serde_json,,68900403,53130
encode simple object with macro,serde_json,,71126908,53900
encode simple object with macro,serde_json,,70103142,54670
encode simple object with macro,serde_json,,71065594,55440
encode simple object with macro,serde_json,,73079958,56210
encode simple object with macro,serde_json,,72671648,56980
encode simple object with macro,serde_json,,73515714,57750
encode simple object with macro,serde_json,,74526314,58520
encode simple object with macro,serde_json,,76935048,59290
encode simple object with macro,serde_json,,76963419,60060
encode simple object with macro,serde_json,,78559996,60830
encode simple object with macro,serde_json,,79984907,61600
encode simple object with macro,serde_json,,80244186,62370
encode simple object with macro,serde_json,,80701666,63140
encode simple object with macro,serde_json,,83028082,63910
encode simple object with macro,serde_json,,83371047,64680
encode simple object with macro,serde_json,,84859796,65450
encode simple object with macro,serde_json,,85448241,66220
encode simple object with macro,serde_json,,86235775,66990
encode simple object with macro,serde_json,,86798101,67760
encode simple object with macro,serde_json,,89835307,68530
encode simple object with macro,serde_json,,88235116,69300
encode simple object with macro,serde_json,,90207769,70070
encode simple object with macro,serde_json,,91221407,70840
encode simple object with macro,serde_json,,92746327,71610
encode simple object with macro,serde_json,,93740231,72380
encode simple object with macro,serde_json,,96132378,73150
encode simple object with macro,serde_json,,99525542,73920
encode simple object with macro,serde_json,,101566690,74690
encode simple object with macro,serde_json,,99975899,75460
encode simple object with macro,serde_json,,99394147,76230
encode simple object with macro,serde_json,,102517020,77000
