group,function,value,sample_time_nanos,iteration_count
encode simple object with macro,serde_json,,1058165,1088
encode simple object with macro,serde_json,,2041811,2176
encode simple object with macro,serde_json,,3040285,3264
encode simple object with macro,serde_json,,3914677,4352
encode simple object with macro,serde_json,,4719549,5440
encode simple object with macro,serde_json,,5883862,6528
encode simple object with macro,serde_json,,7124339,7616
encode simple object with macro,serde_json,,8413554,8704
encode simple object with macro,serde_json,,9190554,9792
encode simple object with macro,serde_json,,10249581,10880
encode simple object with macro,serde_json,,10705273,11968
encode simple object with macro,serde_json,,11750302,13056
encode simple object with macro,serde_json,,12669177,14144
encode simple object with macro,serde_json,,13576371,15232
encode simple object with macro,serde_json,,14219141,16320
encode simple object with macro,serde_json,,15253902,17408
encode simple object with macro,serde_json,,17214391,18496
encode simple object with macro,serde_json,,18100966,19584
encode simple object with macro,serde_json,,18747493,20672
encode simple object with macro,serde_json,,19289845,21760
encode simple object with macro,serde_json,,20333794,22848
encode simple object with macro,serde_json,,21922018,23936
encode simple object with macro,serde_json,,23232043,25024
encode simple object with macro,serde_json,,23236953,26112
encode simple object with macro,serde_json,,24959948,27200
encode simple object with macro,serde_json,,25872101,28288
encode simple object with macro,serde_json,,27786515,29376
encode simple object with macro,serde_json,,27591861,30464
encode simple object with macro,serde_json,,28626032,31552
encode simple object with macro,serde_json,,29963818,32640
encode simple object with macro,serde_json,,30884717,33728
encode simple object with macro,serde_json,,31905794,34816
encode simple object with macro,serde_json,,32164245,35904
encode simple object with macro,serde_json,,33784781,36992
encode simple object with macro,serde_json,,33475162,38080
encode simple object with macro,serde_json,,35402941,39168
encode simple object with macro,serde_json,,36920563,40256
encode simple object with macro,serde_json,,36799007,41344
encode simple object with macro,serde_json,,38953057,42432
encode simple object with macro,serde_json,,39004954,43520
encode simple object with macro,serde_json,,40019768,44608
encode simple object with macro,serde_json,,41918081,45696
encode simple object with macro,serde_json,,41755829,46784
encode simple object with macro,serde_json,,43698023,47872
encode simple object with macro,serde_json,,44192367,48960
encode simple object with macro,serde_json,,45796621,50048
encode simple object with macro,serde_json,,46019787,51136
encode simple object with macro,serde_json,,46653150,52224
encode simple object with macro,serde_json,,47879829,53312
encode simple object with macro,serde_json,,48544891,54400
encode simple object with macro,serde_json,,50593715,55488
encode simple object with macro,serde_json,,51131338,56576
encode simple object with macro,serde_json,,52819439,57664
encode simple object with macro,serde_json,,52101680,58752
encode simple object with macro,serde_json,,53786053,59840
encode simple object with macro,serde_json,,54893871,60928
encode simple object with macro,serde_json,,55207766,62016
encode simple object with macro,serde_json,,57498413,63104
encode simple object with macro,serde_json,,55891674,64192
encode simple object with macro,serde_json,,58671552,65280
encode simple object with macro,serde_json,,58733007,66368
encode simple object with macro,serde_json,,60456454,67456
encode simple object with macro,serde_json,,60361075,68544
encode simple object with macro,serde_json,,63660625,69632
encode simple object with macro,serde_json,,63281707,70720
encode simple object with macro,serde_json,,63247794,71808
encode simple object with macro,serde_json,,64650253,72896
encode simple object with macro,serde_json,,66765199,73984
encode simple object with macro,serde_json,,65817991,75072
encode simple object with macro,serde_json,,69891164,76160
encode simple object with macro,serde_json,,70185503,77248
encode simple object with macro,serde_json,,70528282,78336
encode simple object with macro,serde_json,,71796771,79424
encode simple object with macro,serde_json,,73776937,80512
encode simple object with macro,serde_json,,73784080,81600
encode simple object with macro,serde_json,,73017180,82688
encode simple object with macro,serde_json,,75601412,83776
encode simple object with macro,serde_json,,76864349,84864
encode simple object with macro,serde_json,,78373046,85952
encode simple object with macro,serde_json,,78545457,87040
encode simple object with macro,serde_json,,79654427,88128
encode simple object with macro,serde_json,,81131424,89216
encode simple object with macro,serde_json,,81684016,90304
encode simple object with macro,serde_json,,82400063,91392
encode simple object with macro,serde_json,,84166670,92480
encode simple object with macro,serde_json,,84864732,93568
encode simple object with macro,serde_json,,87115915,94656
encode simple object with macro,serde_json,,87587745,95744
encode simple object with macro,serde_json,,87164104,96832
encode simple object with macro,serde_json,,87227594,97920
encode simple object with macro,serde_json,,89085821,99008
encode simple object with macro,serde_json,,88715922,100096
encode simple object with macro,serde_json,,90312270,101184
encode simple object with macro,serde_json,,91662470,102272
encode simple object with macro,serde_json,,92485809,103360
encode simple object with macro,serde_json,,94479519,104448
encode simple object with macro,serde_json,,95465409,105536
encode simple object with macro,serde_json,,95810924,106624
encode simple object with macro,serde_json,,95625998,107712
encode simple object with macro,serde_json,,97041511,108800
