group,function,value,sample_time_nanos,iteration_count
string encoding throughput,json_in_type,1600-bytes string,1310950.0,795
string encoding throughput,json_in_type,1600-bytes string,2245986.0,1590
string encoding throughput,json_in_type,1600-bytes string,2972541.0,2385
string encoding throughput,json_in_type,1600-bytes string,3943043.0,3180
string encoding throughput,json_in_type,1600-bytes string,4937087.0,3975
string encoding throughput,json_in_type,1600-bytes string,5897064.0,4770
string encoding throughput,json_in_type,1600-bytes string,6894040.0,5565
string encoding throughput,json_in_type,1600-bytes string,7946096.0,6360
string encoding throughput,json_in_type,1600-bytes string,8861962.0,7155
string encoding throughput,json_in_type,1600-bytes string,9892956.0,7950
string encoding throughput,json_in_type,1600-bytes string,10835445.0,8745
string encoding throughput,json_in_type,1600-bytes string,11805984.0,9540
string encoding throughput,json_in_type,1600-bytes string,12919524.0,10335
string encoding throughput,json_in_type,1600-bytes string,13838202.0,11130
string encoding throughput,json_in_type,1600-bytes string,14749187.0,11925
string encoding throughput,json_in_type,1600-bytes string,15756065.0,12720
string encoding throughput,json_in_type,1600-bytes string,16786303.0,13515
string encoding throughput,json_in_type,1600-bytes string,17736683.0,14310
string encoding throughput,json_in_type,1600-bytes string,18786944.0,15105
string encoding throughput,json_in_type,1600-bytes string,19841183.0,15900
string encoding throughput,json_in_type,1600-bytes string,20741087.0,16695
string encoding throughput,json_in_type,1600-bytes string,21645622.0,17490
string encoding throughput,json_in_type,1600-bytes string,22743675.0,18285
string encoding throughput,json_in_type,1600-bytes string,23917261.0,19080
string encoding throughput,json_in_type,1600-bytes string,24692952.0,19875
string encoding throughput,json_in_type,1600-bytes string,25605867.0,20670
string encoding throughput,json_in_type,1600-bytes string,26713511.0,21465
string encoding throughput,json_in_type,1600-bytes string,27796998.0,22260
string encoding throughput,json_in_type,1600-bytes string,28705040.0,23055
string encoding throughput,json_in_type,1600-bytes string,29851844.0,23850
string encoding throughput,json_in_type,1600-bytes string,30714932.0,24645
string encoding throughput,json_in_type,1600-bytes string,31587414.0,25440
string encoding throughput,json_in_type,1600-bytes string,32620936.0,26235
string encoding throughput,json_in_type,1600-bytes string,33408889.0,27030
string encoding throughput,json_in_type,1600-bytes string,34588501.0,27825
string encoding throughput,json_in_type,1600-bytes string,35850127.0,28620
string encoding throughput,json_in_type,1600-bytes string,36405215.0,29415
string encoding throughput,json_in_type,1600-bytes string,37396356.0,30210
string encoding throughput,json_in_type,1600-bytes string,38368145.0,31005
string encoding throughput,json_in_type,1600-bytes string,39855011.0,31800
string encoding throughput,json_in_type,1600-bytes string,41007382.0,32595
string encoding throughput,json_in_type,1600-bytes string,41224207.0,33390
string encoding throughput,json_in_type,1600-bytes string,43583503.0,34185
string encoding throughput,json_in_type,1600-bytes string,43890985.0,34980
string encoding throughput,json_in_type,1600-bytes string,44894991.0,35775
string encoding throughput,json_in_type,1600-bytes string,46007140.0,36570
string encoding throughput,json_in_type,1600-bytes string,46802901.0,37365
string encoding throughput,json_in_type,1600-bytes string,47711255.0,38160
string encoding throughput,json_in_type,1600-bytes string,48595079.0,38955
string encoding throughput,json_in_type,1600-bytes string,49552251.0,39750
string encoding throughput,json_in_type,1600-bytes string,50886619.0,40545
string encoding throughput,json_in_type,1600-bytes string,51480433.0,41340
string encoding throughput,json_in_type,1600-bytes string,52412419.0,42135
string encoding throughput,json_in_type,1600-bytes string,53570261.0,42930
string encoding throughput,json_in_type,1600-bytes string,54507595.0,43725
string encoding throughput,json_in_type,1600-bytes string,55446066.0,44520
string encoding throughput,json_in_type,1600-bytes string,56522937.0,45315
string encoding throughput,json_in_type,1600-bytes string,58652499.0,46110
string encoding throughput,json_in_type,1600-bytes string,59406445.0,46905
string encoding throughput,json_in_type,1600-bytes string,61230391.0,47700
string encoding throughput,json_in_type,1600-bytes string,61283533.0,48495
string encoding throughput,json_in_type,1600-bytes string,61069681.0,49290
string encoding throughput,json_in_type,1600-bytes string,62600193.0,50085
string encoding throughput,json_in_type,1600-bytes string,62938414.0,50880
string encoding throughput,json_in_type,1600-bytes string,63864205.0,51675
string encoding throughput,json_in_type,1600-bytes string,65016297.0,52470
string encoding throughput,json_in_type,1600-bytes string,65791868.0,53265
string encoding throughput,json_in_type,1600-bytes string,67087566.0,54060
string encoding throughput,json_in_type,1600-bytes string,67797458.0,54855
string encoding throughput,json_in_type,1600-bytes string,68814162.0,55650
string encoding throughput,json_in_type,1600-bytes string,69733775.0,56445
string encoding throughput,json_in_type,1600-bytes string,70720133.0,57240
string encoding throughput,json_in_type,1600-bytes string,72223067.0,58035
string encoding throughput,json_in_type,1600-bytes string,73096093.0,58830
string encoding throughput,json_in_type,1600-bytes string,74673339.0,59625
string encoding throughput,json_in_type,1600-bytes string,75658803.0,60420
string encoding throughput,json_in_type,1600-bytes string,76057904.0,61215
string encoding throughput,json_in_type,1600-bytes string,77283889.0,62010
string encoding throughput,json_in_type,1600-bytes string,77988941.0,62805
string encoding throughput,json_in_type,1600-bytes string,78936356.0,63600
string encoding throughput,json_in_type,1600-bytes string,79664149.0,64395
string encoding throughput,json_in_type,1600-bytes string,81173884.0,65190
string encoding throughput,json_in_type,1600-bytes string,81809217.0,65985
string encoding throughput,json_in_type,1600-bytes string,82583927.0,66780
string encoding throughput,json_in_type,1600-bytes string,83711037.0,67575
string encoding throughput,json_in_type,1600-bytes string,85242068.0,68370
string encoding throughput,json_in_type,1600-bytes string,85772840.0,69165
string encoding throughput,json_in_type,1600-bytes string,87589655.0,69960
string encoding throughput,json_in_type,1600-bytes string,87805105.0,70755
string encoding throughput,json_in_type,1600-bytes string,88886022.0,71550
string encoding throughput,json_in_type,1600-bytes string,90308880.0,72345
string encoding throughput,json_in_type,1600-bytes string,91698616.0,73140
string encoding throughput,json_in_type,1600-bytes string,91956470.0,73935
