group,function,value,sample_time_nanos,iteration_count
string encoding throughput,json_in_type,25600-bytes string,1635990,70
string encoding throughput,json_in_type,25600-bytes string,3534968,140
string encoding throughput,json_in_type,25600-bytes string,3063361,210
string encoding throughput,json_in_type,25600-bytes string,3876898,280
string encoding throughput,json_in_type,25600-bytes string,4783711,350
string encoding throughput,json_in_type,25600-bytes string,5742969,420
string encoding throughput,json_in_type,25600-bytes string,6686618,490
string encoding throughput,json_in_type,25600-bytes string,9193739,560
string encoding throughput,json_in_type,25600-bytes string,8583461,630
string encoding throughput,json_in_type,25600-bytes string,9468536,700
string encoding throughput,json_in_type,25600-bytes string,10567289,770
string encoding throughput,json_in_type,25600-bytes string,11636791,840
string encoding throughput,json_in_type,25600-bytes string,12577709,910
string encoding throughput,json_in_type,25600-bytes string,13873209,980
string encoding throughput,json_in_type,25600-bytes string,14245650,1050
string encoding throughput,json_in_type,25600-bytes string,16973132,1120
string encoding throughput,json_in_type,25600-bytes string,16111808,1190
string encoding throughput,json_in_type,25600-bytes string,17939274,1260
string encoding throughput,json_in_type,25600-bytes string,19255951,1330
string encoding throughput,json_in_type,25600-bytes string,19624972,1400
string encoding throughput,json_in_type,25600-bytes string,19915705,1470
string encoding throughput,json_in_type,25600-bytes string,20816833,1540
string encoding throughput,json_in_type,25600-bytes string,22421507,1610
string encoding throughput,json_in_type,25600-bytes string,22953859,1680
string encoding throughput,json_in_type,25600-bytes string,25201574,1750
string encoding throughput,json_in_type,25600-bytes string,25267535,1820
string encoding throughput,json_in_type,25600-bytes string,26829868,1890
string encoding throughput,json_in_type,25600-bytes string,27659874,1960
string encoding throughput,json_in_type,25600-bytes string,28792247,2030
string encoding throughput,json_in_type,25600-bytes string,29362440,2100
string encoding throughput,json_in_type,25600-bytes string,30084683,2170
string encoding throughput,json_in_type,25600-bytes string,33468487,2240
string encoding throughput,json_in_type,25600-bytes string,31382828,2310
string encoding throughput,json_in_type,25600-bytes string,33570655,2380
string encoding throughput,json_in_type,25600-bytes string,33235354,2450
string encoding throughput,json_in_type,25600-bytes string,35478611,2520
string encoding throughput,json_in_type,25600-bytes string,37518516,2590
string encoding throughput,json_in_type,25600-bytes string,37922312,2660
string encoding throughput,json_in_type,25600-bytes string,39450443,2730
string encoding throughput,json_in_type,25600-bytes string,39342902,2800
string encoding throughput,json_in_type,25600-bytes string,39298111,2870
string encoding throughput,json_in_type,25600-bytes string,43831900,2940
string encoding throughput,json_in_type,25600-bytes string,42064683,3010
string encoding throughput,json_in_type,25600-bytes string,41715797,3080
string encoding throughput,json_in_type,25600-bytes string,44132239,3150
string encoding throughput,json_in_type,25600-bytes string,47088357,3220
string encoding throughput,json_in_type,25600-bytes string,45811124,3290
string encoding throughput,json_in_type,25600-bytes string,46671885,3360
string encoding throughput,json_in_type,25600-bytes string,49707871,3430
string encoding throughput,json_in_type,25600-bytes string,48359127,3500
string encoding throughput,json_in_type,25600-bytes string,52764347,3570
string encoding throughput,json_in_type,25600-bytes string,50871186,3640
string encoding throughput,json_in_type,25600-bytes string,52823271,3710
string encoding throughput,json_in_type,25600-bytes string,51846204,3780
string encoding throughput,json_in_type,25600-bytes string,53950342,3850
string encoding throughput,json_in_type,25600-bytes string,54805048,3920
string encoding throughput,json_in_type,25600-bytes string,54671863,3990
string encoding throughput,json_in_type,25600-bytes string,56540043,4060
string encoding throughput,json_in_type,25600-bytes string,57610867,4130
string encoding throughput,json_in_type,25600-bytes string,57980457,4200
string encoding throughput,json_in_type,25600-bytes string,60930765,4270
string encoding throughput,json_in_type,25600-bytes string,62938426,4340
string encoding throughput,json_in_type,25600-bytes string,61896324,4410
string encoding throughput,json_in_type,25600-bytes string,65047439,4480
string encoding throughput,json_in_type,25600-bytes string,63929362,4550
string encoding throughput,json_in_type,25600-bytes string,65718189,4620
string encoding throughput,json_in_type,25600-bytes string,65255202,4690
string encoding throughput,json_in_type,25600-bytes string,67077603,4760
string encoding throughput,json_in_type,25600-bytes string,67824406,4830
string encoding throughput,json_in_type,25600-bytes string,68038141,4900
string encoding throughput,json_in_type,25600-bytes string,69898324,4970
string encoding throughput,json_in_type,25600-bytes string,71956558,5040
string encoding throughput,json_in_type,25600-bytes string,73369711,5110
string encoding throughput,json_in_type,25600-bytes string,71678815,5180
string encoding throughput,json_in_type,25600-bytes string,75958123,5250
string encoding throughput,json_in_type,25600-bytes string,78704037,5320
string encoding throughput,json_in_type,25600-bytes string,74355557,5390
string encoding throughput,json_in_type,25600-bytes string,77684806,5460
string encoding throughput,json_in_type,25600-bytes string,76428593,5530
string encoding throughput,json_in_type,25600-bytes string,79412417,5600
string encoding throughput,json_in_type,25600-bytes string,79026878,5670
string encoding throughput,json_in_type,25600-bytes string,81626924,5740
string encoding throughput,json_in_type,25600-bytes string,83589439,5810
string encoding throughput,json_in_type,25600-bytes string,87335819,5880
string encoding throughput,json_in_type,25600-bytes string,85397268,5950
string encoding throughput,json_in_type,25600-bytes string,85032918,6020
string encoding throughput,json_in_type,25600-bytes string,85944827,6090
string encoding throughput,json_in_type,25600-bytes string,89564020,6160
string encoding throughput,json_in_type,25600-bytes string,87696050,6230
string encoding throughput,json_in_type,25600-bytes string,91890948,6300
string encoding throughput,json_in_type,25600-bytes string,89807526,6370
string encoding throughput,json_in_type,25600-bytes string,93259078,6440
string encoding throughput,json_in_type,25600-bytes string,90280927,6510
string encoding throughput,json_in_type,25600-bytes string,92627910,6580
string encoding throughput,json_in_type,25600-bytes string,94025242,6650
string encoding throughput,json_in_type,25600-bytes string,96437866,6720
string encoding throughput,json_in_type,25600-bytes string,96560925,6790
string encoding throughput,json_in_type,25600-bytes string,94812367,6860
string encoding throughput,json_in_type,25600-bytes string,99347404,6930
string encoding throughput,json_in_type,25600-bytes string,99939116,7000
