group,function,value,sample_time_nanos,iteration_count
string encoding throughput,serde,100-bytes string,1268225.0,5718
string encoding throughput,serde,100-bytes string,2200673.0,11436
string encoding throughput,serde,100-bytes string,2969197.0,17154
string encoding throughput,serde,100-bytes string,4009609.0,22872
string encoding throughput,serde,100-bytes string,4962078.0,28590
string encoding throughput,serde,100-bytes string,5930973.0,34308
string encoding throughput,serde,100-bytes string,6937649.0,40026
string encoding throughput,serde,100-bytes string,7866132.0,45744
string encoding throughput,serde,100-bytes string,8952440.0,51462
string encoding throughput,serde,100-bytes string,9842954.0,57180
string encoding throughput,serde,100-bytes string,10914153.0,62898
string encoding throughput,serde,100-bytes string,11875025.0,68616
string encoding throughput,serde,100-bytes string,12802092.0,74334
string encoding throughput,serde,100-bytes string,13940304.0,80052
string encoding throughput,serde,100-bytes string,14847910.0,85770
string encoding throughput,serde,100-bytes string,15832893.0,91488
string encoding throughput,serde,100-bytes string,16801138.0,97206
string encoding throughput,serde,100-bytes string,17759293.0,102924
string encoding throughput,serde,100-bytes string,18736957.0,108642
string encoding throughput,serde,100-bytes string,19783104.0,114360
string encoding throughput,serde,100-bytes string,20784178.0,120078
string encoding throughput,serde,100-bytes string,21644702.0,125796
string encoding throughput,serde,100-bytes string,22986649.0,131514
string encoding throughput,serde,100-bytes string,23698542.0,137232
string encoding throughput,serde,100-bytes string,24976595.0,142950
string encoding throughput,serde,100-bytes string,26082875.0,148668
string encoding throughput,serde,100-bytes string,26728588.0,154386
string encoding throughput,serde,100-bytes string,27716292.0,160104
string encoding throughput,serde,100-bytes string,28562535.0,165822
string encoding throughput,serde,100-bytes string,29678979.0,171540
string encoding throughput,serde,100-bytes string,30605894.0,177258
string encoding throughput,serde,100-bytes string,31628882.0,182976
string encoding throughput,serde,100-bytes string,32677229.0,188694
string encoding throughput,serde,100-bytes string,34501816.0,194412
string encoding throughput,serde,100-bytes string,35255099.0,200130
string encoding throughput,serde,100-bytes string,36208812.0,205848
string encoding throughput,serde,100-bytes string,37347830.0,211566
string encoding throughput,serde,100-bytes string,37824804.0,217284
string encoding throughput,serde,100-bytes string,39798339.0,223002
string encoding throughput,serde,100-bytes string,40047777.0,228720
string encoding throughput,serde,100-bytes string,40627968.0,234438
string encoding throughput,serde,100-bytes string,41984625.0,240156
string encoding throughput,serde,100-bytes string,42290622.0,245874
string encoding throughput,serde,100-bytes string,43629997.0,251592
string encoding throughput,serde,100-bytes string,44340963.0,257310
string encoding throughput,serde,100-bytes string,45520780.0,263028
string encoding throughput,serde,100-bytes string,46448037.0,268746
string encoding throughput,serde,100-bytes string,47538773.0,274464
string encoding throughput,serde,100-bytes string,48317228.0,280182
string encoding throughput,serde,100-bytes string,49375558.0,285900
string encoding throughput,serde,100-bytes string,50703651.0,291618
string encoding throughput,serde,100-bytes string,51431357.0,297336
string encoding throughput,serde,100-bytes string,52365633.0,303054
string encoding throughput,serde,100-bytes string,53125613.0,308772
string encoding throughput,serde,100-bytes string,54255002.0,314490
string encoding throughput,serde,100-bytes string,55779258.0,320208
string encoding throughput,serde,100-bytes string,56403766.0,325926
string encoding throughput,serde,100-bytes string,57312760.0,331644
string encoding throughput,serde,100-bytes string,58848971.0,337362
string encoding throughput,serde,100-bytes string,59918839.0,343080
string encoding throughput,serde,100-bytes string,60333201.0,348798
string encoding throughput,serde,100-bytes string,61139452.0,354516
string encoding throughput,serde,100-bytes string,62847254.0,360234
string encoding throughput,serde,100-bytes string,63364868.0,365952
string encoding throughput,serde,100-bytes string,64230364.0,371670
string encoding throughput,serde,100-bytes string,65299680.0,377388
string encoding throughput,serde,100-bytes string,66290455.0,383106
string encoding throughput,serde,100-bytes string,67433190.0,388824
string encoding throughput,serde,100-bytes string,68161147.0,394542
string encoding throughput,serde,100-bytes string,69045319.0,400260
string encoding throughput,serde,100-bytes string,70363065.0,405978
string encoding throughput,serde,100-bytes string,78293917.0,411696
string encoding throughput,serde,100-bytes string,72706571.0,417414
string encoding throughput,serde,100-bytes string,73467789.0,423132
string encoding throughput,serde,100-bytes string,74138991.0,428850
string encoding throughput,serde,100-bytes string,74888224.0,434568
string encoding throughput,serde,100-bytes string,75927568.0,440286
string encoding throughput,serde,100-bytes string,77983211.0,446004
string encoding throughput,serde,100-bytes string,78486158.0,451722
string encoding throughput,serde,100-bytes string,79292036.0,457440
string encoding throughput,serde,100-bytes string,80144847.0,463158
string encoding throughput,serde,100-bytes string,81033925.0,468876
string encoding throughput,serde,100-bytes string,81792748.0,474594
string encoding throughput,serde,100-bytes string,82902946.0,480312
string encoding throughput,serde,100-bytes string,84191334.0,486030
string encoding throughput,serde,100-bytes string,84718946.0,491748
string encoding throughput,serde,100-bytes string,86578143.0,497466
string encoding throughput,serde,100-bytes string,86789659.0,503184
string encoding throughput,serde,100-bytes string,88109180.0,508902
string encoding throughput,serde,100-bytes string,88834665.0,514620
string encoding throughput,serde,100-bytes string,90389285.0,520338
string encoding throughput,serde,100-bytes string,90875324.0,526056
string encoding throughput,serde,100-bytes string,92080331.0,531774
string encoding throughput,serde,100-bytes string,92900523.0,537492
string encoding throughput,serde,100-bytes string,93526774.0,543210
string encoding throughput,serde,100-bytes string,95438855.0,548928
string encoding throughput,serde,100-bytes string,96314770.0,554646
string encoding throughput,serde,100-bytes string,97743518.0,560364
string encoding throughput,serde,100-bytes string,97655413.0,566082
string encoding throughput,serde,100-bytes string,99470898.0,571800
