group,function,value,sample_time_nanos,iteration_count
string encoding throughput,serde,25600-bytes string,1763988,37
string encoding throughput,serde,25600-bytes string,3130264,74
string encoding throughput,serde,25600-bytes string,3028049,111
string encoding throughput,serde,25600-bytes string,4015175,148
string encoding throughput,serde,25600-bytes string,5000821,185
string encoding throughput,serde,25600-bytes string,6010589,222
string encoding throughput,serde,25600-bytes string,7003479,259
string encoding throughput,serde,25600-bytes string,8404003,296
string encoding throughput,serde,25600-bytes string,9011640,333
string encoding throughput,serde,25600-bytes string,9990825,370
string encoding throughput,serde,25600-bytes string,10993775,407
string encoding throughput,serde,25600-bytes string,12341163,444
string encoding throughput,serde,25600-bytes string,12947164,481
string encoding throughput,serde,25600-bytes string,14188092,518
string encoding throughput,serde,25600-bytes string,15017269,555
string encoding throughput,serde,25600-bytes string,15956588,592
string encoding throughput,serde,25600-bytes string,17013677,629
string encoding throughput,serde,25600-bytes string,18000175,666
string encoding throughput,serde,25600-bytes string,19016046,703
string encoding throughput,serde,25600-bytes string,20001163,740
string encoding throughput,serde,25600-bytes string,21490804,777
string encoding throughput,serde,25600-bytes string,24482952,814
string encoding throughput,serde,25600-bytes string,23679701,851
string encoding throughput,serde,25600-bytes string,24061281,888
string encoding throughput,serde,25600-bytes string,25107553,925
string encoding throughput,serde,25600-bytes string,26461987,962
string encoding throughput,serde,25600-bytes string,27002931,999
string encoding throughput,serde,25600-bytes string,28168247,1036
string encoding throughput,serde,25600-bytes string,29103209,1073
string encoding throughput,serde,25600-bytes string,30001729,1110
string encoding throughput,serde,25600-bytes string,30899053,1147
string encoding throughput,serde,25600-bytes string,31945301,1184
string encoding throughput,serde,25600-bytes string,32929767,1221
string encoding throughput,serde,25600-bytes string,34354425,1258
string encoding throughput,serde,25600-bytes string,35182757,1295
string encoding throughput,serde,25600-bytes string,35991506,1332
string encoding throughput,serde,25600-bytes string,37015210,1369
string encoding throughput,serde,25600-bytes string,38742716,1406
string encoding throughput,serde,25600-bytes string,39550759,1443
string encoding throughput,serde,25600-bytes string,40188686,1480
string encoding throughput,serde,25600-bytes string,40990750,1517
string encoding throughput,serde,25600-bytes string,41973406,1554
string encoding throughput,serde,25600-bytes string,43048738,1591
string encoding throughput,serde,25600-bytes string,43750855,1628
string encoding throughput,serde,25600-bytes string,44917116,1665
string encoding throughput,serde,25600-bytes string,46160935,1702
string encoding throughput,serde,25600-bytes string,47115760,1739
string encoding throughput,serde,25600-bytes string,47986059,1776
string encoding throughput,serde,25600-bytes string,49644250,1813
string encoding throughput,serde,25600-bytes string,52441382,1850
string encoding throughput,serde,25600-bytes string,51391464,1887
string encoding throughput,serde,25600-bytes string,51815646,1924
string encoding throughput,serde,25600-bytes string,54166112,1961
string encoding throughput,serde,25600-bytes string,53804485,1998
string encoding throughput,serde,25600-bytes string,54810183,2035
string encoding throughput,serde,25600-bytes string,56502597,2072
string encoding throughput,serde,25600-bytes string,57253796,2109
string encoding throughput,serde,25600-bytes string,57855898,2146
string encoding throughput,serde,25600-bytes string,58750184,2183
string encoding throughput,serde,25600-bytes string,60476933,2220
string encoding throughput,serde,25600-bytes string,61763495,2257
string encoding throughput,serde,25600-bytes string,62092512,2294
string encoding throughput,serde,25600-bytes string,63406773,2331
string encoding throughput,serde,25600-bytes string,65141864,2368
string encoding throughput,serde,25600-bytes string,65189548,2405
string encoding throughput,serde,25600-bytes string,67242409,2442
string encoding throughput,serde,25600-bytes string,70354414,2479
string encoding throughput,serde,25600-bytes string,67853109,2516
string encoding throughput,serde,25600-bytes string,68905412,2553
string encoding throughput,serde,25600-bytes string,69821739,2590
string encoding throughput,serde,25600-bytes string,71371568,2627
string encoding throughput,serde,25600-bytes string,71503266,2664
string encoding throughput,serde,25600-bytes string,72671545,2701
string encoding throughput,serde,25600-bytes string,74433342,2738
string encoding throughput,serde,25600-bytes string,75844609,2775
string encoding throughput,serde,25600-bytes string,75686800,2812
string encoding throughput,serde,25600-bytes string,76517716,2849
string encoding throughput,serde,25600-bytes string,78019020,2886
string encoding throughput,serde,25600-bytes string,78499289,2923
string encoding throughput,serde,25600-bytes string,81788954,2960
string encoding throughput,serde,25600-bytes string,81411000,2997
string encoding throughput,serde,25600-bytes string,83142473,3034
string encoding throughput,serde,25600-bytes string,82901374,3071
string encoding throughput,serde,25600-bytes string,84079915,3108
string encoding throughput,serde,25600-bytes string,85401599,3145
string encoding throughput,serde,25600-bytes string,85836872,3182
string encoding throughput,serde,25600-bytes string,87207771,3219
string encoding throughput,serde,25600-bytes string,88677192,3256
string encoding throughput,serde,25600-bytes string,89498061,3293
string encoding throughput,serde,25600-bytes string,89727166,3330
string encoding throughput,serde,25600-bytes string,91087598,3367
string encoding throughput,serde,25600-bytes string,96281510,3404
string encoding throughput,serde,25600-bytes string,92578387,3441
string encoding throughput,serde,25600-bytes string,94108970,3478
string encoding throughput,serde,25600-bytes string,94777864,3515
string encoding throughput,serde,25600-bytes string,95412556,3552
string encoding throughput,serde,25600-bytes string,96478470,3589
string encoding throughput,serde,25600-bytes string,98052995,3626
string encoding throughput,serde,25600-bytes string,99000934,3663
string encoding throughput,serde,25600-bytes string,101150580,3700
