group,function,value,sample_time_nanos,iteration_count
string with many special chars,json_in_type,,1465769,4
string with many special chars,json_in_type,,2175281,8
string with many special chars,json_in_type,,3100044,12
string with many special chars,json_in_type,,4098250,16
string with many special chars,json_in_type,,5192990,20
string with many special chars,json_in_type,,6183633,24
string with many special chars,json_in_type,,7277689,28
string with many special chars,json_in_type,,8395483,32
string with many special chars,json_in_type,,9391759,36
string with many special chars,json_in_type,,10278197,40
string with many special chars,json_in_type,,11258918,44
string with many special chars,json_in_type,,12332166,48
string with many special chars,json_in_type,,13469956,52
string with many special chars,json_in_type,,14425019,56
string with many special chars,json_in_type,,15398737,60
string with many special chars,json_in_type,,16364196,64
string with many special chars,json_in_type,,17383779,68
string with many special chars,json_in_type,,18428040,72
string with many special chars,json_in_type,,19508351,76
string with many special chars,json_in_type,,20552896,80
string with many special chars,json_in_type,,21527860,84
string with many special chars,json_in_type,,22497545,88
string with many special chars,json_in_type,,23879282,92
string with many special chars,json_in_type,,25099091,96
string with many special chars,json_in_type,,25908415,100
string with many special chars,json_in_type,,26731487,104
string with many special chars,json_in_type,,27841428,108
string with many special chars,json_in_type,,28771073,112
string with many special chars,json_in_type,,29686602,116
string with many special chars,json_in_type,,30747241,120
string with many special chars,json_in_type,,31927256,124
string with many special chars,json_in_type,,32791943,128
string with many special chars,json_in_type,,36157472,132
string with many special chars,json_in_type,,34996454,136
string with many special chars,json_in_type,,35882584,140
string with many special chars,json_in_type,,37317797,144
string with many special chars,json_in_type,,38675327,148
string with many special chars,json_in_type,,40358895,152
string with many special chars,json_in_type,,40171086,156
string with many special chars,json_in_type,,41321532,160
string with many special chars,json_in_type,,42075531,164
string with many special chars,json_in_type,,43340245,168
string with many special chars,json_in_type,,44635933,172
string with many special chars,json_in_type,,45414606,176
string with many special chars,json_in_type,,46082334,180
string with many special chars,json_in_type,,47247546,184
string with many special chars,json_in_type,,48123471,188
string with many special chars,json_in_type,,49192749,192
string with many special chars,json_in_type,,50443052,196
string with many special chars,json_in_type,,51466212,200
string with many special chars,json_in_type,,52568774,204
string with many special chars,json_in_type,,53258857,208
string with many special chars,json_in_type,,54339568,212
string with many special chars,json_in_type,,55666569,216
string with many special chars,json_in_type,,56806348,220
string with many special chars,json_in_type,,57381480,224
string with many special chars,json_in_type,,58486658,228
string with many special chars,json_in_type,,59656781,232
string with many special chars,json_in_type,,60800545,236
string with many special chars,json_in_type,,61506189,240
string with many special chars,json_in_type,,62702793,244
string with many special chars,json_in_type,,63550779,248
string with many special chars,json_in_type,,65223626,252
string with many special chars,json_in_type,,65789917,256
string with many special chars,json_in_type,,66881474,260
string with many special chars,json_in_type,,67804037,264
string with many special chars,json_in_type,,69175521,268
string with many special chars,json_in_type,,69769477,272
string with many special chars,json_in_type,,70838476,276
string with many special chars,json_in_type,,72172582,280
string with many special chars,json_in_type,,72856458,284
string with many special chars,json_in_type,,74321825,288
string with many special chars,json_in_type,,75132054,292
string with many special chars,json_in_type,,76329341,296
string with many special chars,json_in_type,,76980381,300
string with many special chars,json_in_type,,77955143,304
string with many special chars,json_in_type,,79065883,308
string with many special chars,json_in_type,,80640163,312
string with many special chars,json_in_type,,80988166,316
string with many special chars,json_in_type,,82376238,320
string with many special chars,json_in_type,,83113638,324
string with many special chars,json_in_type,,84155783,328
string with many special chars,json_in_type,,85032030,332
string with many special chars,json_in_type,,86064407,336
string with many special chars,json_in_type,,87615122,340
string with many special chars,json_in_type,,88942528,344
string with many special chars,json_in_type,,89510455,348
string with many special chars,json_in_type,,90266242,352
string with many special chars,json_in_type,,91423426,356
string with many special chars,json_in_type,,92775616,360
string with many special chars,json_in_type,,93571955,364
string with many special chars,json_in_type,,94802620,368
string with many special chars,json_in_type,,95394147,372
string with many special chars,json_in_type,,96601696,376
string with many special chars,json_in_type,,97226187,380
string with many special chars,json_in_type,,99021867,384
string with many special chars,json_in_type,,99960106,388
string with many special chars,json_in_type,,100891181,392
string with many special chars,json_in_type,,101815907,396
string with many special chars,json_in_type,,102825914,400
