group,function,value,sample_time_nanos,iteration_count
string with many special chars,json_in_type,,1678711,6
string with many special chars,json_in_type,,2732260,12
string with many special chars,json_in_type,,3228459,18
string with many special chars,json_in_type,,4332376,24
string with many special chars,json_in_type,,5398891,30
string with many special chars,json_in_type,,6583712,36
string with many special chars,json_in_type,,8059916,42
string with many special chars,json_in_type,,9867997,48
string with many special chars,json_in_type,,10360710,54
string with many special chars,json_in_type,,11285726,60
string with many special chars,json_in_type,,12413716,66
string with many special chars,json_in_type,,13218955,72
string with many special chars,json_in_type,,14183639,78
string with many special chars,json_in_type,,15423890,84
string with many special chars,json_in_type,,16153141,90
string with many special chars,json_in_type,,17192358,96
string with many special chars,json_in_type,,18291776,102
string with many special chars,json_in_type,,20032614,108
string with many special chars,json_in_type,,20438829,114
string with many special chars,json_in_type,,21495794,120
string with many special chars,json_in_type,,22605381,126
string with many special chars,json_in_type,,23651800,132
string with many special chars,json_in_type,,24773284,138
string with many special chars,json_in_type,,25835249,144
string with many special chars,json_in_type,,26967178,150
string with many special chars,json_in_type,,28041121,156
string with many special chars,json_in_type,,29068433,162
string with many special chars,json_in_type,,30151852,168
string with many special chars,json_in_type,,31225206,174
string with many special chars,json_in_type,,32415324,180
string with many special chars,json_in_type,,33339026,186
string with many special chars,json_in_type,,34454615,192
string with many special chars,json_in_type,,35538117,198
string with many special chars,json_in_type,,36589557,204
string with many special chars,json_in_type,,37617274,210
string with many special chars,json_in_type,,38926353,216
string with many special chars,json_in_type,,39667111,222
string with many special chars,json_in_type,,40663844,228
string with many special chars,json_in_type,,41911419,234
string with many special chars,json_in_type,,42834715,240
string with many special chars,json_in_type,,43947162,246
string with many special chars,json_in_type,,45056570,252
string with many special chars,json_in_type,,46106019,258
string with many special chars,json_in_type,,49634653,264
string with many special chars,json_in_type,,48180935,270
string with many special chars,json_in_type,,49360311,276
string with many special chars,json_in_type,,52121797,282
string with many special chars,json_in_type,,53512148,288
string with many special chars,json_in_type,,52644665,294
string with many special chars,json_in_type,,53604098,300
string with many special chars,json_in_type,,54744116,306
string with many special chars,json_in_type,,56180737,312
string with many special chars,json_in_type,,56874336,318
string with many special chars,json_in_type,,58009905,324
string with many special chars,json_in_type,,58995202,330
string with many special chars,json_in_type,,60442698,336
string with many special chars,json_in_type,,61079739,342
string with many special chars,json_in_type,,62095148,348
string with many special chars,json_in_type,,63198918,354
string with many special chars,json_in_type,,64417584,360
string with many special chars,json_in_type,,67198352,366
string with many special chars,json_in_type,,68373928,372
string with many special chars,json_in_type,,67527676,378
string with many special chars,json_in_type,,68861995,384
string with many special chars,json_in_type,,69650121,390
string with many special chars,json_in_type,,70748576,396
string with many special chars,json_in_type,,71694633,402
string with many special chars,json_in_type,,72827981,408
string with many special chars,json_in_type,,73871622,414
string with many special chars,json_in_type,,74972138,420
string with many special chars,json_in_type,,76285150,426
string with many special chars,json_in_type,,77221243,432
string with many special chars,json_in_type,,78259852,438
string with many special chars,json_in_type,,79279931,444
string with many special chars,json_in_type,,83190196,450
string with many special chars,json_in_type,,81456104,456
string with many special chars,json_in_type,,84319128,462
string with many special chars,json_in_type,,83579738,468
string with many special chars,json_in_type,,84477482,474
string with many special chars,json_in_type,,85833425,480
string with many special chars,json_in_type,,86708533,486
string with many special chars,json_in_type,,87763273,492
string with many special chars,json_in_type,,89171623,498
string with many special chars,json_in_type,,89847098,504
string with many special chars,json_in_type,,90896605,510
string with many special chars,json_in_type,,92479024,516
string with many special chars,json_in_type,,97066961,522
string with many special chars,json_in_type,,94570784,528
string with many special chars,json_in_type,,95321748,534
string with many special chars,json_in_type,,96339415,540
string with many special chars,json_in_type,,97629660,546
string with many special chars,json_in_type,,98617333,552
string with many special chars,json_in_type,,99871938,558
string with many special chars,json_in_type,,100670620,564
string with many special chars,json_in_type,,101720112,570
string with many special chars,json_in_type,,102709181,576
string with many special chars,json_in_type,,106665053,582
string with many special chars,json_in_type,,106279172,588
string with many special chars,json_in_type,,106137844,594
string with many special chars,json_in_type,,107094043,600
