group,function,value,sample_time_nanos,iteration_count
string with many special chars,serde,,1296561,7
string with many special chars,serde,,2343297,14
string with many special chars,serde,,3247692,21
string with many special chars,serde,,4277564,28
string with many special chars,serde,,5442573,35
string with many special chars,serde,,6444220,42
string with many special chars,serde,,7485519,49
string with many special chars,serde,,8611846,56
string with many special chars,serde,,9611220,63
string with many special chars,serde,,10687539,70
string with many special chars,serde,,11746452,77
string with many special chars,serde,,12898917,84
string with many special chars,serde,,13932752,91
string with many special chars,serde,,14917676,98
string with many special chars,serde,,16805159,105
string with many special chars,serde,,17027305,112
string with many special chars,serde,,18152483,119
string with many special chars,serde,,19219695,126
string with many special chars,serde,,20364398,133
string with many special chars,serde,,21394103,140
string with many special chars,serde,,22474308,147
string with many special chars,serde,,23461633,154
string with many special chars,serde,,24524947,161
string with many special chars,serde,,25900343,168
string with many special chars,serde,,26692969,175
string with many special chars,serde,,27828698,182
string with many special chars,serde,,28939749,189
string with many special chars,serde,,29858212,196
string with many special chars,serde,,30973825,203
string with many special chars,serde,,31985112,210
string with many special chars,serde,,33061610,217
string with many special chars,serde,,34126766,224
string with many special chars,serde,,35192354,231
string with many special chars,serde,,36422135,238
string with many special chars,serde,,37414269,245
string with many special chars,serde,,38586991,252
string with many special chars,serde,,39493171,259
string with many special chars,serde,,40592464,266
string with many special chars,serde,,41910137,273
string with many special chars,serde,,42665811,280
string with many special chars,serde,,43762125,287
string with many special chars,serde,,45065187,294
string with many special chars,serde,,45881138,301
string with many special chars,serde,,46963242,308
string with many special chars,serde,,47994827,315
string with many special chars,serde,,49102225,322
string with many special chars,serde,,50183507,329
string with many special chars,serde,,51248743,336
string with many special chars,serde,,52266667,343
string with many special chars,serde,,53565958,350
string with many special chars,serde,,54429300,357
string with many special chars,serde,,55427022,364
string with many special chars,serde,,57908925,371
string with many special chars,serde,,57645480,378
string with many special chars,serde,,59019863,385
string with many special chars,serde,,60997981,392
string with many special chars,serde,,60945216,399
string with many special chars,serde,,62132897,406
string with many special chars,serde,,62899977,413
string with many special chars,serde,,64033629,420
string with many special chars,serde,,65128778,427
string with many special chars,serde,,66105055,434
string with many special chars,serde,,67275093,441
string with many special chars,serde,,68400998,448
string with many special chars,serde,,69460088,455
string with many special chars,serde,,70670071,462
string with many special chars,serde,,71547938,469
string with many special chars,serde,,72571767,476
string with many special chars,serde,,73606975,483
string with many special chars,serde,,75150143,490
string with many special chars,serde,,76031615,497
string with many special chars,serde,,76901894,504
string with many special chars,serde,,78261561,511
string with many special chars,serde,,79160881,518
string with many special chars,serde,,80084167,525
string with many special chars,serde,,81086506,532
string with many special chars,serde,,82363518,539
string with many special chars,serde,,83304120,546
string with many special chars,serde,,84549216,553
string with many special chars,serde,,85436260,560
string with many special chars,serde,,88237733,567
string with many special chars,serde,,87727521,574
string with many special chars,serde,,90151331,581
string with many special chars,serde,,89930581,588
string with many special chars,serde,,90808051,595
string with many special chars,serde,,91809255,602
string with many special chars,serde,,92833007,609
string with many special chars,serde,,93911867,616
string with many special chars,serde,,94942848,623
string with many special chars,serde,,96391598,630
string with many special chars,serde,,97220934,637
string with many special chars,serde,,98190468,644
string with many special chars,serde,,99402175,651
string with many special chars,serde,,100363573,658
string with many special chars,serde,,101751056,665
string with many special chars,serde,,102607341,672
string with many special chars,serde,,103623147,679
string with many special chars,serde,,104948625,686
string with many special chars,serde,,105651969,693
string with many special chars,serde,,106948255,700
