group,function,value,sample_time_nanos,iteration_count
string with many special chars,serde,,1742247,7
string with many special chars,serde,,2967037,14
string with many special chars,serde,,3247022,21
string with many special chars,serde,,4302674,28
string with many special chars,serde,,5399218,35
string with many special chars,serde,,6512891,42
string with many special chars,serde,,7553956,49
string with many special chars,serde,,8587104,56
string with many special chars,serde,,9701362,63
string with many special chars,serde,,10765982,70
string with many special chars,serde,,11856883,77
string with many special chars,serde,,12954370,84
string with many special chars,serde,,14290952,91
string with many special chars,serde,,15191097,98
string with many special chars,serde,,16778592,105
string with many special chars,serde,,18985371,112
string with many special chars,serde,,19344006,119
string with many special chars,serde,,19470037,126
string with many special chars,serde,,20437205,133
string with many special chars,serde,,21787759,140
string with many special chars,serde,,22802137,147
string with many special chars,serde,,23747732,154
string with many special chars,serde,,24777915,161
string with many special chars,serde,,25815685,168
string with many special chars,serde,,26897665,175
string with many special chars,serde,,27929825,182
string with many special chars,serde,,29014065,189
string with many special chars,serde,,30115168,196
string with many special chars,serde,,31404393,203
string with many special chars,serde,,32272187,210
string with many special chars,serde,,33398719,217
string with many special chars,serde,,34484569,224
string with many special chars,serde,,35634909,231
string with many special chars,serde,,36632944,238
string with many special chars,serde,,37730435,245
string with many special chars,serde,,38700847,252
string with many special chars,serde,,40025796,259
string with many special chars,serde,,41050638,266
string with many special chars,serde,,41872159,273
string with many special chars,serde,,43087450,280
string with many special chars,serde,,44156415,287
string with many special chars,serde,,45526692,294
string with many special chars,serde,,46530664,301
string with many special chars,serde,,47502424,308
string with many special chars,serde,,49360667,315
string with many special chars,serde,,51568515,322
string with many special chars,serde,,50670009,329
string with many special chars,serde,,51605200,336
string with many special chars,serde,,53343531,343
string with many special chars,serde,,53768135,350
string with many special chars,serde,,54786548,357
string with many special chars,serde,,56277394,364
string with many special chars,serde,,57042557,371
string with many special chars,serde,,58335189,378
string with many special chars,serde,,59127178,385
string with many special chars,serde,,60331630,392
string with many special chars,serde,,61332656,399
string with many special chars,serde,,62506265,406
string with many special chars,serde,,63466216,413
string with many special chars,serde,,64660439,420
string with many special chars,serde,,65627477,427
string with many special chars,serde,,66903599,434
string with many special chars,serde,,71314814,441
string with many special chars,serde,,68867361,448
string with many special chars,serde,,70013387,455
string with many special chars,serde,,71365234,462
string with many special chars,serde,,72570946,469
string with many special chars,serde,,73265684,476
string with many special chars,serde,,74356583,483
string with many special chars,serde,,75340096,490
string with many special chars,serde,,76391948,497
string with many special chars,serde,,77521743,504
string with many special chars,serde,,78377789,511
string with many special chars,serde,,79755430,518
string with many special chars,serde,,80947938,525
string with many special chars,serde,,84819897,532
string with many special chars,serde,,82972249,539
string with many special chars,serde,,84866234,546
string with many special chars,serde,,84937666,553
string with many special chars,serde,,86230718,560
string with many special chars,serde,,87248122,567
string with many special chars,serde,,88023390,574
string with many special chars,serde,,89546296,581
string with many special chars,serde,,90589163,588
string with many special chars,serde,,91186612,595
string with many special chars,serde,,92694951,602
string with many special chars,serde,,96065909,609
string with many special chars,serde,,95959965,616
string with many special chars,serde,,95784191,623
string with many special chars,serde,,96702737,630
string with many special chars,serde,,98132485,637
string with many special chars,serde,,99653099,644
string with many special chars,serde,,100119358,651
string with many special chars,serde,,101197746,658
string with many special chars,serde,,102101358,665
string with many special chars,serde,,103429274,672
string with many special chars,serde,,105168692,679
string with many special chars,serde,,108090423,686
string with many special chars,serde,,107119575,693
string with many special chars,serde,,108040187,700
